date,transactionNumber,idInvoice,memo,locationId,Product Code,description,unit,unitPrice,discountLine,taxrateId,qty,discountAmounr,grossAmount,isDiscount
13/02/2022,10100,6641392,,10,NJL-0043,,Karton,185000,0.00%,5,1,0,203500,2
13/02/2022,10100,6641392,,10,NJL-0032,,Karton,185000,0.00%,5,1,0,203500,2
13/02/2022,10100,6641392,,10,NJL-0036,,Karton,185000,0.00%,5,1,0,203500,2
19/02/2022,10101,6641935,,10,POP-0071,,Karton,8181.818182,0.00%,5,6,0,54000,2
19/02/2022,10102,6641890,,10,POP-0059,,Karton,200000,0.00%,5,1,0,220000,2
19/02/2022,10103,6641934,,10,POP-0052,,Karton,200000,0.00%,5,1,0,220000,2
23/02/2022,10104,6656924,,10,YUC-0002,,Karton,177272.7273,0.00%,5,1,0,195000,2
