tranId,trandate,subsidiary,currency,exchangerate,postingperiod,internal ID,journalItemLine_memo,journalItemLine_account,journalItemLine_debitAmount,journalItemLine_creditAmount
99,5/31/2023,AKI,Rupiah,1,23-May,231,11120,CASH & CASH EQUIVALENTS : CASH : Petty Cash Kecil - Management,9711849,0
99,5/31/2023,AKI,Rupiah,1,23-May,247,11210,CASH & CASH EQUIVALENTS : BANK : Bank CIMB Niaga IDR,136151813,0
99,5/31/2023,AKI,Rupiah,1,23-May,727,11220,CASH & CASH EQUIVALENTS : BANK : Bank BCA IDR - AKI,1414429926,0
99,5/31/2023,AKI,Rupiah,1,23-May,250,11240,CASH & CASH EQUIVALENTS : BANK : Bank Danamon IDR,70689842,0
99,5/31/2023,AKI,Rupiah,1,23-May,606,22100,PPN KELUARAN : Tax Article 23,0,26528548
99,5/31/2023,AKI,Rupiah,1,23-May,608,22300,PPN KELUARAN : Tax Article 29,0,1
99,5/31/2023,AKI,Rupiah,1,23-May,609,22400,PPN KELUARAN : Tax Article 21,0,500000
99,5/31/2023,AKI,Rupiah,1,23-May,610,22500,PPN KELUARAN : Tax Article 4(2),0,450508
99,5/31/2023,AKI,Rupiah,1,23-May,620,23006,ACCRUED EXPENSES OTHERS : Accrued Employee Social Taxes,0,112798252
99,5/31/2023,AKI,Rupiah,1,23-May,621,23007,ACCRUED EXPENSES OTHERS : Accrued THR,0,0
99,5/31/2023,AKI,Rupiah,1,23-May,617,23004,ACCRUED EXPENSES OTHERS : Accrued Bonus,0,616276700
99,5/31/2023,AKI,Rupiah,1,23-May,615,23002,ACCRUED EXPENSES OTHERS : Accrued Expense Others,0,45384600
99,5/31/2023,AKI,Rupiah,1,23-May,1602,27112,ACCRUED EXPENSES OTHERS : Accrued Expense Others : Accrued Expense Others - PT. Langit Kreatif Indonesia,0,744858334
99,5/31/2023,AKI,Rupiah,1,23-May,632,29022,Accrued Biaya Pengosongan Dan Pembongkaran Bangunan,0,22522525
99,5/31/2023,AKI,Rupiah,1,23-May,1613,27123,ACCRUED EXPENSES OTHERS : Accrued Expense Others : Accrued Expense Others - PT. Langit Muda Kreatif,0,15596083
99,5/31/2023,AKI,Rupiah,1,23-May,977,22900,Accrued Tax Article 21,0,339797423
99,5/31/2023,AKI,Rupiah,1,23-May,976,22800,Accrued Tax Articel PPn,0,608794
99,5/31/2023,AKI,Rupiah,1,23-May,1602,27112,ACCRUED EXPENSES OTHERS : Accrued Expense Others : Accrued Expense Others - PT. Langit Kreatif Indonesia,0,188131406
99,5/31/2023,AKI,Rupiah,1,23-May,653,29010,RENT LIABILITIES - LONGTERM,0,1183286443
99,5/31/2023,AKI,Rupiah,1,23-May,630,29020,RENT LIABILITIES - SHORT TERM,0,258559144
99,5/31/2023,AKI,Rupiah,1,23-May,407,30000,CAPITAL,0,29391316800
99,5/31/2023,AKI,Rupiah,1,23-May,410,32100,CAPITAL : Retained Earnings,0,35322634534
99,5/31/2023,AKI,Rupiah,1,23-May,411,33100,CAPITAL : Dividends,22316674189,0
99,5/31/2023,AKI,Rupiah,1,23-May,414,30120,CAPITAL : Additional Paid-In Capital,0,4963000000
99,5/31/2023,AKI,Rupiah,1,23-May,509,40011,SALES : Sales -,0,6413094936
99,5/31/2023,AKI,Rupiah,1,23-May,1721,71340,Interest Earned,0,5744015
99,5/31/2023,AKI,Rupiah,1,23-May,641,71177,OTHERS REVENUE : Share of Profits of Subsidiaries,0,226560799
99,5/31/2023,AKI,Rupiah,1,23-May,638,71144,OTHERS REVENUE : Miscellaneous Incomes,0,2
99,5/31/2023,AKI,Rupiah,1,23-May,801,71276,INTEREST INCOME : Loan Interest From PT. Menjadi Manusia,0,12583332
99,5/31/2023,AKI,Rupiah,1,23-May,1508,71315,INTEREST INCOME : Loan Interest From PT. Paksya Kreatif Indonesia,0,289235628
99,5/31/2023,AKI,Rupiah,1,23-May,803,71298,INTEREST INCOME : Loan Interest From PT. Roda Cepat Indonesia,0,2209999
99,5/31/2023,AKI,Rupiah,1,23-May,1722,71341,Gain Exchange Rate,0,6444550
99,5/31/2023,AKI,Rupiah,1,23-May,804,71309,INTEREST INCOME : Loan Interest From PT. Jingga Kreasi Multiguna,0,46896666
99,5/31/2023,AKI,Rupiah,1,23-May,952,71311,INTEREST INCOME : Loan Interest From Storikka,0,4326666
99,5/31/2023,AKI,Rupiah,1,23-May,1507,71314,INTEREST INCOME : Loan Interest From PT. Jagad Kreatif Indonesia,0,31701333
99,5/31/2023,AKI,Rupiah,1,23-May,635,71111,OTHERS REVENUE : Building Rent Income,0,244309545
99,5/31/2023,AKI,Rupiah,1,23-May,497,65055,"DEPRECIATION EXPENSES : Depreciation Expenses - Comp, Printer & Notebook",32559057,0
99,5/31/2023,AKI,Rupiah,1,23-May,496,65044,DEPRECIATION EXPENSES : Depreciation Expense - Furniture,1729967,0
99,5/31/2023,AKI,Rupiah,1,23-May,494,65022,DEPRECIATION EXPENSES : Depreciation Expense - Machinery and Office Equipment,15383816,0
99,5/31/2023,AKI,Rupiah,1,23-May,493,65011,DEPRECIATION EXPENSES : Depreciation Expense - Renovation Building,212095649,0
99,5/31/2023,AKI,Rupiah,1,23-May,501,65099,DEPRECIATION EXPENSES : Depreciation Expense - Other Assets,4034311,0
99,5/31/2023,AKI,Rupiah,1,23-May,499,65077,DEPRECIATION EXPENSES : Deprectiation Expenses - Right Of Used Asset,225647424,0
99,5/31/2023,AKI,Rupiah,1,23-May,423,61211,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : SALARY : Salaries,7709394166,0
99,5/31/2023,AKI,Rupiah,1,23-May,424,61222,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : SALARY : Salaries Intern,13950000,0
