tranId,trandate,subsidiary,currency,exchangerate,postingperiod,internal ID,journalItemLine_memo,journalItemLine_account,journalItemLine_debitAmount,journalItemLine_creditAmount
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,453,61701,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Telephone,319680,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,457,61705,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Electricity & Water,3566350,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,461,61709,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Stamp Duties,510000,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,462,61710,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Postage,266000,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,455,61703,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Internet,6131000,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,466,61714,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Office Expenses,20156915,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,467,61715,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Office Rent,40123455,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,459,61707,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Software Programme,4972928,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,469,61717,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Repair & Maintenance Office Equipment,2153814,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,474,61811,OPERATIONAL EXPENSES : FINANCE AND RELATED EXPENSES : Legal and Professional Fees,1097787,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,483,61922,OPERATIONAL EXPENSES : MARKETING AND SALES SUPPORT : Entertainment,436667,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,489,61988,OPERATIONAL EXPENSES : MARKETING AND SALES SUPPORT : Function & Outing,306002,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,1509,71316,INTEREST INCOME : Loan Interest From PT. Finch Kreatif Indonesia,366667,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,1506,71313,INTEREST INCOME : Loan Interest From PT. Maleo Kreatif Indonesia,5806486,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,1507,71314,INTEREST INCOME : Loan Interest From PT. Jagad Kreatif Indonesia,10127592,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,475,61822,OPERATIONAL EXPENSES : FINANCE AND RELATED EXPENSES : Back Office Expenses,260000000,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,985,62020,OPERATIONAL EXPENSES : MARKETING AND SALES SUPPORT : Pitching Expense,69928203,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,493,65011,DEPRECIATION EXPENSES : Depreciation Expense - Renovation Building,31488267,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,494,65022,DEPRECIATION EXPENSES : Depreciation Expense - Machinery and Office Equipment,2169327,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,496,65044,DEPRECIATION EXPENSES : Depreciation Expense - Furniture,166250,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,497,65055,"DEPRECIATION EXPENSES : Depreciation Expenses - Comp, Printer & Notebook",12611358,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,484,61933,OPERATIONAL EXPENSES : MARKETING AND SALES SUPPORT : Gift and Sponsorship,9292500,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,503,66011,TAX EXPENSE,218589,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,780,72111,OTHERS EXPENSES : Bank Charges,326700,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,782,72120,OTHERS EXPENSES : Miscellaneous Expenses,1237,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,53,3200,Opening Balance,852724429,0
