tranId,trandate,subsidiary,currency,exchangerate,postingperiod,internal ID,journalItemLine_memo,journalItemLine_account,journalItemLine_debitAmount,journalItemLine_creditAmount
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,412,34100,CAPITAL : Share Capital,0,800000000
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,509,40011,SALES : Sales -,0,6933912279
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,518,40012,SALES : Accrued Sales,0,3673346394
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,1721,71340,Interest Earned,0,1785444
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,1512,71319,INTEREST INCOME : Loan Interest From PT. Segara  Kreatif Indonesia,0,10127592
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,378,51210,COST OF SALES : Cost Of Sales Sales,2020689724,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,752,51510,COST OF SALES : Cost Of Sales Sales : Cost Of Sales Sales - Salaries,2150567892,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,423,61211,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : SALARY : Salaries,761496543,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,424,61222,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : SALARY : Salaries Intern,20000000,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,433,61422,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : COMMISION : THR,240341623,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,434,61433,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : COMMISION : Bonus,246120810,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,421,61144,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : EMPLOYEE SOCIAL TAXES : Employee Payroll Tax Allowance (PPh 21),538838784,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,980,61110,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : EMPLOYEE SOCIAL TAXES : Employee Social Taxes JHT & JP,195570045,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,418,61111,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : EMPLOYEE SOCIAL TAXES : Employee Social Taxes JKK & JKM,15927706,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,979,61310,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : ALLOWANCE : BPJS Kesehatan (Component PPh 21),86722805,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,437,61511,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : ALLOWANCE : Meals,6066000,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,441,61555,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : ALLOWANCE : Medical,54106775,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,450,61633,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : OTHER ALLOWANCE : Insurance,53308549,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,1780,61655,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : OTHER ALLOWANCE : Parking Office,9083333,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,981,61612,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : ALLOWANCE : Handphone Allowance,9958261,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,440,61544,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : ALLOWANCE : Out Of Pocket Expenses,5000000,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,439,61533,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : ALLOWANCE : CockFight,8306000,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,438,61522,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : ALLOWANCE : Travel & Transportation,57692580,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,453,61701,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Telephone,842439,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,457,61705,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Electricity & Water,11228743,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,461,61709,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Stamp Duties,1220000,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,462,61710,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Postage,1472499,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,455,61703,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Internet,66899675,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,466,61714,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Office Expenses,126086187,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,459,61707,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Software Programme,2644460,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,469,61717,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Repair & Maintenance Office Equipment,1480052,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,474,61811,OPERATIONAL EXPENSES : FINANCE AND RELATED EXPENSES : Legal and Professional Fees,6135487,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,483,61922,OPERATIONAL EXPENSES : MARKETING AND SALES SUPPORT : Entertainment,6812151,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,487,61966,OPERATIONAL EXPENSES : MARKETING AND SALES SUPPORT : Charitable Contributions,1500000,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,489,61988,OPERATIONAL EXPENSES : MARKETING AND SALES SUPPORT : Function & Outing,4045000,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,491,62010,OPERATIONAL EXPENSES : MARKETING AND SALES SUPPORT : Training & Courses,2935000,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,1779,72131,OTHERS EXPENSES : Interest Expenses - Right Of Use Asset (PSAK 73) : Interest Exp - RoU Asset  PT. Langit Kreatif Indonesia,48790421,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,1531,73260,OTHERS EXPENSES : Loan Interest Expenses : Loan Interest Expenses - Angkasa Kreatif Indonesia,31701333,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,1520,73150,OTHERS EXPENSES : Loan Interest Expenses : Loan Interest Expenses - PT. Finch Kreatif Indonesia,21666668,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,1517,73120,OTHERS EXPENSES : Loan Interest Expenses : Loan Interest Expenses - PT. Maleo Kreatif Indonesia,5580934,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,475,61822,OPERATIONAL EXPENSES : FINANCE AND RELATED EXPENSES : Back Office Expenses,608000000,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,464,61712,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Service Charge,55443000,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,982,61634,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Insurance - Asset,220651,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,985,62020,OPERATIONAL EXPENSES : MARKETING AND SALES SUPPORT : Pitching Expense,68410402,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,449,61622,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : OTHER ALLOWANCE : Freelance Expenses,11282051,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,493,65011,DEPRECIATION EXPENSES : Depreciation Expense - Renovation Building,63866429,0
