tranId,trandate,subsidiary,currency,exchangerate,postingperiod,internal ID,journalItemLine_memo,journalItemLine_account,journalItemLine_debitAmount,journalItemLine_creditAmount
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,402,17255,FIXED ASSETS : Accumulated Depreciation : Vehicles - Accumulated Depreciation,0,93129476
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,395,17221,FIXED ASSETS : Asset : Right Of Use Asset - 6 years,3384722262,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,404,17277,FIXED ASSETS : Accumulated Depreciation : Right Of Use Assets Accumulated Depreciation,0,1880401257
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,1079,22701,PPN KELUARAN : VAT Out,0,358933263
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,606,22100,PPN KELUARAN : Tax Article 23,0,6678601
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,609,22400,PPN KELUARAN : Tax Article 21,0,486401
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,610,22500,PPN KELUARAN : Tax Article 4(2),0,24925749
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,616,23003,ACCRUED EXPENSES OTHERS : Accrued BPJS Kesehatan,0,55387184
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,617,23004,ACCRUED EXPENSES OTHERS : Accrued Bonus,0,319911190
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,615,23002,ACCRUED EXPENSES OTHERS : Accrued Expense Others,0,139610032
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,632,29022,Accrued Biaya Pengosongan Dan Pembongkaran Bangunan,0,22522525
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,1602,27112,ACCRUED EXPENSES OTHERS : Accrued Expense Others : Accrued Expense Others - PT. Langit Kreatif Indonesia,0,32215203
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,977,22900,Accrued Tax Article 21,0,35110123
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,976,22800,Accrued Tax Articel PPn,0,18345
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,1601,27111,ACCRUED EXPENSES OTHERS : Accrued Expense Others : Accrued Expense Others - PT. Angkasa Kreatif Indonesia,0,8265823
