cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6533482,SNI20220527-1118,27/5/2022,Print,SNI20220527-1118,137942,SNI-493,,,IDR,"Rp179.607,52",179607.52,,17796,,,179607.52
6533483,SNI20220527-1119,27/5/2022,Print,SNI20220527-1119,48023,SNI-900,,,IDR,"Rp226.848,45",226848.45,,22478,,,226848.45
6533484,SNI20220527-1120,27/5/2022,Print,SNI20220527-1120,SNI-959,SNI-959,,,IDR,"Rp2.395.536,45",2395536.45,,237396,,,2395536.45
6533485,SNI20220527-1121,27/5/2022,Print,SNI20220527-1121,SNI-218,SNI-218,,,IDR,"Rp28.498.801,17",28498801.17,,2824206,,,28498801.17
6533486,SNI20220527-1122,27/5/2022,Print,SNI20220527-1122,JBR-256,SNI-138,,,IDR,"Rp2.177.759,86",2177759.86,,215814,,,2177759.86
6533487,SNI20220527-1123,27/5/2022,Print,SNI20220527-1123,SNI-918,SNI-918,,,IDR,"Rp30.488.643,01",30488643.01,,3021400,,,30488643.01
6533488,SNI20220527-1124,27/5/2022,Print,SNI20220527-1124,48478,SNI-557,,,IDR,"Rp653.328,76",653328.76,,64745,,,653328.76
6533489,SNI20220527-1125,27/5/2022,Print,SNI20220527-1125,SNI-558,SNI-558,,,IDR,"Rp377.829,24",377829.24,,37438,,,377829.24
6533490,SNI20220527-1126,27/5/2022,Print,SNI20220527-1126,SNI-927,SNI-927,,,IDR,"Rp19.613.653,16",19613653.16,,1943697,,,19613653.16
6533491,SNI20220527-1127,27/5/2022,Print,SNI20220527-1127,5130,SNI-940,,,IDR,"Rp25.262.015,94",25262015.94,,2503443,,,25262015.94
6533492,SNI20220527-1128,27/5/2022,Print,SNI20220527-1128,SNI-257,SNI-257,,,IDR,"Rp479.471,52",479471.52,,47513,,,479471.52
6533493,SNI20220527-1129,27/5/2022,Print,SNI20220527-1129,SNI-467,SNI-467,,,IDR,"Rp1.595.962,34",1595962.34,,158158,,,1595962.34
6533494,SNI20220528-1254,28/5/2022,Print,SNI20220528-1254,SNI-208,SNI-208,,,IDR,"Rp453.650,22",453650.22,,44952,,,453650.22
6533495,SNI20220528-1255,28/5/2022,Print,SNI20220528-1255,SNI-651,SNI-651,,,IDR,"Rp740.434,11",740434.11,,73368,,,740434.11
6533496,SNI20220528-1256,28/5/2022,Print,SNI20220528-1256,SNI-652,SNI-652,,,IDR,"Rp2.073.464,00",2073464,,205483,,,2073464
6533497,SNI20220528-1257,28/5/2022,Print,SNI20220528-1257,SNI-494,SNI-494,,,IDR,"Rp130.961,12",130961.12,,12975,,,130961.12
6533503,SNI20220528-1258,28/5/2022,Print,SNI20220528-1258,SNI-309,SNI-309,,,IDR,"Rp446.071,06",446071.06,,44202,,,446071.06
6533498,SNI20220528-1259,28/5/2022,Print,SNI20220528-1259,1051,SNI-901,,,IDR,"Rp453.652,26",453652.26,,44956,,,453652.26
6533499,SNI20220528-1260,28/5/2022,Print,SNI20220528-1260,109212,SNI-312,,,IDR,"Rp17.837.506,87",17837506.87,,1767681,,,17837506.87
6533500,SNI20220528-1261,28/5/2022,Print,SNI20220528-1261,SNI-074,SNI-074,,,IDR,"Rp24.826.467,77",24826467.77,,2460284,,,24826467.77
6533501,SNI20220528-1262,28/5/2022,Print,SNI20220528-1262,SNI-088,SNI-088,,,IDR,"Rp378.784,00",378784,,37538,,,378784
6533502,SNI20220528-1263,28/5/2022,Print,SNI20220528-1263,5162,SNI-902,,,IDR,"Rp317.554,44",317554.44,,31465,,,317554.44
