cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6533262,SNI20220513-365,13/5/2022,Print,SNI20220513-365,SNI-964,SNI-964,,,IDR,"Rp662.294,43",662294.43,,65629,,,662294.43
6533263,SNI20220513-366,13/5/2022,Print,SNI20220513-366,SNI-965,SNI-965,,,IDR,"Rp1.110.808,48",1110808.48,,110075,,,1110808.48
6533264,SNI20220513-367,13/5/2022,Print,SNI20220513-367,SNI-122,SNI-122,,,IDR,"Rp9.799.920,32",9799920.32,,971163,,,9799920.32
6533265,SNI20220513-368,13/5/2022,Print,SNI20220513-368,137919,SNI-903,,,IDR,"Rp178.497,89",178497.89,,17687,,,178497.89
6533266,SNI20220513-369,13/5/2022,Print,SNI20220513-369,48023,SNI-900,,,IDR,"Rp133.128,80",133128.8,,13192,,,133128.8
6533267,SNI20220513-370,13/5/2022,Print,SNI20220513-370,SNI-558,SNI-558,,,IDR,"Rp359.939,16",359939.16,,35665,,,359939.16
6533268,SNI20220513-371,13/5/2022,Print,SNI20220513-371,160472,SNI-124,,,IDR,"Rp132.441,78",132441.78,,13125,,,132441.78
6533269,SNI20220513-372,13/5/2022,Print,SNI20220513-372,179149,SNI-033,,,IDR,"Rp243.510,74",243510.74,,24125,,,243510.74
6533270,SNI20220513-373,13/5/2022,Print,SNI20220513-373,SNI-123,SNI-123,,,IDR,"Rp905.022,42",905022.42,,89687,,,905022.42
6533271,SNI20220513-374,13/5/2022,Print,SNI20220513-374,SNI-966,SNI-966,,,IDR,"Rp622.411,54",622411.54,,61682,,,622411.54
6533272,SNI20220513-375,13/5/2022,Print,SNI20220513-375,SNI-913,SNI-913,,,IDR,"Rp226.824,60",226824.6,,22475,,,226824.6
6533273,SNI20220513-376,13/5/2022,Print,SNI20220513-376,SNI-208,SNI-208,,,IDR,"Rp408.285,30",408285.3,,40457,,,408285.3
6533274,SNI20220513-377,13/5/2022,Print,SNI20220513-377,SNI-257,SNI-257,,,IDR,"Rp181.478,38",181478.38,,17983,,,181478.38
6533275,SNI20220513-378,13/5/2022,Print,SNI20220513-378,SNI-146,SNI-146,,,IDR,"Rp81.162,38",81162.38,,8043,,,81162.38
6533276,SNI20220513-379,13/5/2022,Print,SNI20220513-379,SNI-550,SNI-550,,,IDR,"Rp121.768,59",121768.59,,12066,,,121768.59
6533277,SNI20220514-453,14/5/2022,Print,SNI20220514-453,SNI-967,SNI-967,,,IDR,"Rp20.644.975,09",20644975.09,,2045899,,,20644975.09
6533278,SNI20220514-454,14/5/2022,Print,SNI20220514-454,SNI-488,SNI-488,,,IDR,"Rp8.275.488,28",8275488.28,,820094,,,8275488.28
6533279,SNI20220514-455,14/5/2022,Print,SNI20220514-455,SNI-088,SNI-088,,,IDR,"Rp12.201.895,36",12201895.36,,1209196,,,12201895.36
6533280,SNI20220514-456,14/5/2022,Print,SNI20220514-456,9626,SNI-859,,,IDR,"Rp7.013.921,35",7013921.35,,695075,,,7013921.35
6533281,SNI20220514-457,14/5/2022,Print,SNI20220514-457,SNI-108,SNI-108,,,IDR,"Rp182.268,84",182268.84,,18062,,,182268.84
6533282,SNI20220514-458,14/5/2022,Print,SNI20220514-458,SNI-256,SNI-256,,,IDR,"Rp365.469,54",365469.54,,36216,,,365469.54
6533283,SNI20220514-459,14/5/2022,Print,SNI20220514-459,171942,SNI-574,,,IDR,"Rp489.035,82",489035.82,,48460,,,489035.82
