cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6533504,SNI20220528-1264,28/5/2022,Print,SNI20220528-1264,SNI-476,SNI-476,,,IDR,"Rp120.266,80",120266.8,,11918,,,120266.8
6533505,SNI20220528-1265,28/5/2022,Print,SNI20220528-1265,7187,SNI-154,,,IDR,"Rp5.679.761,12",5679761.12,,562859,,,5679761.12
6533506,SNI20220528-1266,28/5/2022,Print,SNI20220528-1266,SNI-117,SNI-117,,,IDR,"Rp2.898.413,74",2898413.74,,287229,,,2898413.74
6533507,SNI20220530-1267,30/5/2022,Print,SNI20220530-1267,100146,SNI-379,,,IDR,"Rp11.977.680,24",11977680.24,,1186978,,,11977680.24
6533508,SNI20220530-1268,30/5/2022,Print,SNI20220530-1268,SNI-953,SNI-953,,,IDR,"Rp105.065,18",105065.18,,10413,,,105065.18
6533509,SNI20220530-1269,30/5/2022,Print,SNI20220530-1269,JBG-824,SNI-340,,,IDR,"Rp1.870.179,73",1870179.73,,185326,,,1870179.73
6533510,SNI20220530-1270,30/5/2022,Print,SNI20220530-1270,SNI-649,SNI-649,,,IDR,"Rp317.555,46",317555.46,,31467,,,317555.46
6533511,SNI20220530-1271,30/5/2022,Print,SNI20220530-1271,5676,SNI-567,,,IDR,"Rp453.652,26",453652.26,,44956,,,453652.26
6533512,SNI20220530-1272,30/5/2022,Print,SNI20220530-1272,17102,SNI-564,,,IDR,"Rp8.113.943,63",8113943.63,,804084,,,8113943.63
6533513,SNI20220530-1273,30/5/2022,Print,SNI20220530-1273,JBR-212,SNI-244,,,IDR,"Rp9.696.546,22",9696546.22,,960922,,,9696546.22
6533514,SNI20220530-1274,30/5/2022,Print,SNI20220530-1274,SNI-971,SNI-971,,,IDR,"Rp871.104,34",871104.34,,86326,,,871104.34
6533515,SNI20220530-1275,30/5/2022,Print,SNI20220530-1275,51672,SNI-491,,,IDR,"Rp14.159.678,33",14159678.33,,1403213,,,14159678.33
6533516,SNI20220530-1276,30/5/2022,Print,SNI20220530-1276,37345,SNI-135,,,IDR,"Rp47.815.940,35",47815940.35,,4738519,,,47815940.35
6533517,SNI20220530-1277,30/5/2022,Print,SNI20220530-1277,SNI-199,SNI-199,,,IDR,"Rp343.097,88",343097.88,,34000,,,343097.88
6533518,SNI20220530-1278,30/5/2022,Print,SNI20220530-1278,112703,SNI-561,,,IDR,"Rp12.067.978,40",12067978.4,,1195925,,,12067978.4
6533519,SNI20220530-1279,30/5/2022,Print,SNI20220530-1279,SNI-986,SNI-986,,,IDR,"Rp10.639.753,24",10639753.24,,1054390,,,10639753.24
6533520,SNI20220530-1280,30/5/2022,Print,SNI20220530-1280,SNI-519,SNI-519,,,IDR,"Rp6.652.925,27",6652925.27,,659301,,,6652925.27
6533521,SNI20220530-1281,30/5/2022,Print,SNI20220530-1281,SNI-919,SNI-919,,,IDR,"Rp46.226.275,57",46226275.57,,4580984,,,46226275.57
6533522,SNI20220530-1282,30/5/2022,Print,SNI20220530-1282,SNI-987,SNI-987,,,IDR,"Rp2.140.678,48",2140678.48,,212140,,,2140678.48
6533523,SNI20220530-1283,30/5/2022,Print,SNI20220530-1283,SNI-173,SNI-173,,,IDR,"Rp2.526.202,39",2526202.39,,250345,,,2526202.39
6533524,SNI20220530-1284,30/5/2022,Print,SNI20220530-1284,SNI-954,SNI-954,,,IDR,"Rp124.559,00",124559,,12344,,,124559
6533525,SNI20220531-1371,31/5/2022,Print,SNI20220531-1371,SNI-350,SNI-350,,,IDR,"Rp15.650.323,32",15650323.32,,1550934,,,15650323.32
