cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6533460,SNI20220525-1036,25/5/2022,Print,SNI20220525-1036,SNI-925,SNI-925,,,IDR,"Rp64.431,66",64431.66,,6384,,,64431.66
6533461,SNI20220525-1037,25/5/2022,Print,SNI20220525-1037,SNI-913,SNI-913,,,IDR,"Rp272.189,52",272189.52,,26970,,,272189.52
6533462,SNI20220525-1038,25/5/2022,Print,SNI20220525-1038,48478,SNI-557,,,IDR,"Rp783.993,70",783993.7,,77693,,,783993.7
6533463,SNI20220525-1039,25/5/2022,Print,SNI20220525-1039,SNI-914,SNI-914,,,IDR,"Rp1.487.807,56",1487807.56,,147440,,,1487807.56
6533464,SNI20220525-1040,25/5/2022,Print,SNI20220525-1040,SNI-078,SNI-078,,,IDR,"Rp5.444.398,65",5444398.65,,539534,,,5444398.65
6533465,SNI20220525-1041,25/5/2022,Print,SNI20220525-1041,JBR-256,SNI-138,,,IDR,"Rp1.959.985,28",1959985.28,,194234,,,1959985.28
6533466,SNI20220525-1042,25/5/2022,Print,SNI20220525-1042,SNI-255,SNI-255,,,IDR,"Rp966.685,34",966685.34,,95798,,,966685.34
6533467,SNI20220525-1043,25/5/2022,Print,SNI20220525-1043,SNI-960,SNI-960,,,IDR,"Rp12.413.231,35",12413231.35,,1230139,,,12413231.35
6533468,SNI20220525-1044,25/5/2022,Print,SNI20220525-1044,KDR-500,SNI-317,,,IDR,"Rp5.444.400,65",5444400.65,,539536,,,5444400.65
6533469,SNI20220525-1045,25/5/2022,Print,SNI20220525-1045,52913,SNI-627,,,IDR,"Rp8.711.039,45",8711039.45,,863256,,,8711039.45
6533470,SNI20220525-1046,25/5/2022,Print,SNI20220525-1046,SNI-364,SNI-364,,,IDR,"Rp18.293.184,18",18293184.18,,1812838,,,18293184.18
6533471,SNI20220525-1047,25/5/2022,Print,SNI20220525-1047,109212,SNI-312,,,IDR,"Rp25.262.015,94",25262015.94,,2503443,,,25262015.94
6533472,SNI20220525-1048,25/5/2022,Print,SNI20220525-1048,SNI-525,SNI-621,,,IDR,"Rp5.662.176,24",5662176.24,,561117,,,5662176.24
6533473,SNI20220525-1049,25/5/2022,Print,SNI20220525-1049,17030,SNI-439,,,IDR,"Rp6.751.057,17",6751057.17,,669025,,,6751057.17
6533474,SNI20220525-1050,25/5/2022,Print,SNI20220525-1050,JBR-509,SNI-528,,,IDR,"Rp19.307.427,69",19307427.69,,1913350,,,19307427.69
6533475,SNI20220527-1111,27/5/2022,Print,SNI20220527-1111,SNI-966,SNI-966,,,IDR,"Rp755.786,18",755786.18,,74901,,,755786.18
6533476,SNI20220527-1112,27/5/2022,Print,SNI20220527-1112,160472,SNI-124,,,IDR,"Rp141.439,76",141439.76,,14015,,,141439.76
6533477,SNI20220527-1113,27/5/2022,Print,SNI20220527-1113,SNI-123,SNI-123,,,IDR,"Rp316.758,49",316758.49,,31391,,,316758.49
6533478,SNI20220527-1114,27/5/2022,Print,SNI20220527-1114,179149,SNI-033,,,IDR,"Rp136.575,61",136575.61,,13533,,,136575.61
6533479,SNI20220527-1115,27/5/2022,Print,SNI20220527-1115,19432,SNI-862,,,IDR,"Rp222.288,61",222288.61,,22026,,,222288.61
6533480,SNI20220527-1116,27/5/2022,Print,SNI20220527-1116,10410,SNI-274,,,IDR,"Rp230.897,46",230897.46,,22883,,,230897.46
6533481,SNI20220527-1117,27/5/2022,Print,SNI20220527-1117,7516,SNI-035,,,IDR,"Rp362.662,24",362662.24,,35938,,,362662.24
