cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6533350,SNI20220519-613,19/5/2022,Print,SNI20220519-613,SNI-327,SNI-327,,,IDR,"Rp674.480,24",674480.24,,66839,,,674480.24
6533351,SNI20220519-614,19/5/2022,Print,SNI20220519-614,SNI-333,SNI-333,,,IDR,"Rp814.522,30",814522.3,,80721,,,814522.3
6533352,SNI20220519-615,19/5/2022,Print,SNI20220519-615,SNI-402,SNI-402,,,IDR,"Rp374.661,70",374661.7,,37128,,,374661.7
6533353,SNI20220519-616,19/5/2022,Print,SNI20220519-616,SNI-331,SNI-331,,,IDR,"Rp2.165.795,97",2165795.97,,214630,,,2165795.97
6533354,SNI20220519-617,19/5/2022,Print,SNI20220519-617,28810,SNI-196,,,IDR,"Rp1.063.975,23",1063975.23,,105439,,,1063975.23
6533355,SNI20220519-618,19/5/2022,Print,SNI20220519-618,SNI-918,SNI-918,,,IDR,"Rp11.796.321,84",11796321.84,,1169005,,,11796321.84
6533356,SNI20220519-619,19/5/2022,Print,SNI20220519-619,SNI-510,SNI-510,,,IDR,"Rp13.809.890,93",13809890.93,,1368549,,,13809890.93
6533357,SNI20220519-620,19/5/2022,Print,SNI20220519-620,SNI-309,SNI-309,,,IDR,"Rp446.071,06",446071.06,,44202,,,446071.06
6533358,SNI20220519-621,19/5/2022,Print,SNI20220519-621,SNI-306,SNI-306,,,IDR,"Rp8.928.816,03",8928816.03,,884838,,,8928816.03
6533359,SNI20220519-622,19/5/2022,Print,SNI20220519-622,SNI-488,SNI-488,,,IDR,"Rp16.561.873,96",16561873.96,,1641269,,,16561873.96
6533360,SNI20220519-623,19/5/2022,Print,SNI20220519-623,SNI-586,SNI-586,,,IDR,"Rp1.959.985,28",1959985.28,,194234,,,1959985.28
6533361,SNI20220519-624,19/5/2022,Print,SNI20220519-624,166726,SNI-371,,,IDR,"Rp3.048.864,21",3048864.21,,302140,,,3048864.21
6533362,SNI20220519-625,19/5/2022,Print,SNI20220519-625,SNI-618,SNI-618,,,IDR,"Rp67.853,80",67853.8,,6723,,,67853.8
6533363,SNI20220519-626,19/5/2022,Print,SNI20220519-626,16533,SNI-408,,,IDR,"Rp226.825,64",226825.64,,22478,,,226825.64
6533364,SNI20220519-627,19/5/2022,Print,SNI20220519-627,SNI-401,SNI-401,,,IDR,"Rp70.425,12",70425.12,,6976,,,70425.12
6533365,SNI20220519-628,19/5/2022,Print,SNI20220519-628,SNI-170,SNI-170,,,IDR,"Rp644.224,44",644224.44,,63841,,,644224.44
6533366,SNI20220519-629,19/5/2022,Print,SNI20220519-629,SNI-400,SNI-400,,,IDR,"Rp362.920,38",362920.38,,35962,,,362920.38
6533367,SNI20220519-630,19/5/2022,Print,SNI20220519-630,119200,SNI-050,,,IDR,"Rp978.074,83",978074.83,,96928,,,978074.83
6533368,SNI20220519-631,19/5/2022,Print,SNI20220519-631,SNI-232,SNI-232,,,IDR,"Rp550.464,34",550464.34,,54552,,,550464.34
6533369,SNI20220520-703,20/5/2022,Print,SNI20220520-703,51672,SNI-614,,,IDR,"Rp172.820,77",172820.77,,17126,,,172820.77
6533370,SNI20220520-704,20/5/2022,Print,SNI20220520-704,SNI-199,SNI-199,,,IDR,"Rp297.016,02",297016.02,,29435,,,297016.02
6533371,SNI20220520-705,20/5/2022,Print,SNI20220520-705,7612,SNI-538,,,IDR,"Rp2.599.135,26",2599135.26,,257572,,,2599135.26
