date,transactionNumber,idInvoice,memo,locationId,Product Code,description,unit,unitPrice,discountLine,taxrateId,qty,discountAmounr,grossAmount,isDiscount
23/02/2022,SNI20220222-711,6696667,,14,POP-0051,,Karton,41703.63636,0.01,5,2,1651.46,91748.00,1
23/02/2022,SNI20220222-711,6696667,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
23/02/2022,SNI20220222-711,6696667,,14,POP-0052,,Karton,41703.63636,0.01,5,1,1651.46,45874.00,1
23/02/2022,SNI20220222-711,6696667,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
23/02/2022,SNI20220222-711,6696667,,14,POP-0073,,Karton,41703.63636,0.01,5,1,1651.46,45874.00,1
23/02/2022,SNI20220222-711,6696667,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
23/02/2022,SNI20220222-717,6697443,,14,NJL-0038,,Karton,16185.45455,0.01,5,1,446.79,17804.00,1
23/02/2022,SNI20220222-717,6697443,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
23/02/2022,SNI20220222-717,6697443,,14,NJL-0034,,Karton,16185.45455,0.01,5,1,446.79,17804.00,1
23/02/2022,SNI20220222-717,6697443,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
23/02/2022,SNI20220222-717,6697443,,14,NJL-0043,,Karton,16185.45455,0.01,5,1,446.79,17804.00,1
23/02/2022,SNI20220222-717,6697443,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
23/02/2022,SNI20220222-717,6697443,,14,POP-0070,,Karton,41703.63636,0.01,5,1,446.79,45874.00,1
23/02/2022,SNI20220222-717,6697443,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
24/02/2022,SNI20220223-785,6697435,,14,NJL-0035,,Karton,16185.45455,0.01,5,2,0,35608.00,1
24/02/2022,SNI20220223-785,6697435,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
24/02/2022,SNI20220223-785,6697435,,14,NJL-0037,,Karton,16185.45455,0.01,5,2,0,35608.00,1
24/02/2022,SNI20220223-785,6697435,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
25/02/2022,SNI20220224-862,6697410,,14,POP-0051,,Karton,41703.63636,0.01,5,1,3302.93,45874.00,1
25/02/2022,SNI20220224-862,6697410,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
25/02/2022,SNI20220224-862,6697410,,14,POP-0054,,Karton,41703.63636,0.01,5,1,3302.93,45874.00,1
25/02/2022,SNI20220224-862,6697410,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
25/02/2022,SNI20220224-862,6697410,,14,POP-0069,,Karton,41703.63636,0.01,5,1,3302.93,45874.00,1
25/02/2022,SNI20220224-862,6697410,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
25/02/2022,SNI20220224-862,6697410,,14,POP-0064,,Karton,41703.63636,0.01,5,1,3302.93,45874.00,1
25/02/2022,SNI20220224-862,6697410,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
25/02/2022,SNI20220224-862,6697410,,14,POP-0074,,Karton,41703.63636,0.01,5,1,3302.93,45874.00,1
25/02/2022,SNI20220224-862,6697410,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
25/02/2022,SNI20220224-862,6697410,,14,POP-0058,,Karton,41703.63636,0.01,5,1,3302.93,45874.00,1
25/02/2022,SNI20220224-862,6697410,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
25/02/2022,SNI20220224-862,6697410,,14,POP-0075,,Karton,41703.63636,0.01,5,1,3302.93,45874.00,1
25/02/2022,SNI20220224-862,6697410,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
25/02/2022,SNI20220224-862,6697410,,14,POP-0068,,Karton,41703.63636,0.01,5,1,3302.93,45874.00,1
25/02/2022,SNI20220224-862,6697410,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
