date,transactionNumber,idInvoice,memo,locationId,Product Code,description,unit,unitPrice,discountLine,taxrateId,qty,discountAmounr,grossAmount,isDiscount
17/02/2022,SNI20220216-412,6696705,,14,ASR-0002,,Karton,15595.45455,0.01,5,1,0,17155,1
17/02/2022,SNI20220216-412,6696705,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
17/02/2022,SNI20220216-406,6697479,,14,NJL-0022,,Karton,6439.090909,0.01,5,2,63.75,14166,1
17/02/2022,SNI20220216-406,6697479,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
18/02/2022,SNI20220217-464,6696695,,14,POP-0078,,Karton,41703.63636,0.02,5,3,9400,137622,1
18/02/2022,SNI20220217-464,6696695,,14,Promotion Discount,,,-2.00%,0.02,5,,,0,1
18/02/2022,SNI20220217-464,6696695,,14,POP-0055,,Karton,41703.63636,0.02,5,4,9400,183496,1
18/02/2022,SNI20220217-464,6696695,,14,Promotion Discount,,,-2.00%,0.02,5,,,0,1
18/02/2022,SNI20220217-464,6696695,,14,POP-0051,,Karton,208518.1818,0.02,5,1,9400,229370,1
18/02/2022,SNI20220217-464,6696695,,14,Promotion Discount,,,-2.00%,0.02,5,,,0,1
18/02/2022,SNI20220217-464,6696695,,14,POP-0052,,Karton,41703.63636,0.02,5,3,9400,137622,1
18/02/2022,SNI20220217-464,6696695,,14,Promotion Discount,,,-2.00%,0.02,5,,,0,1
18/02/2022,SNI20220217-464,6696695,,14,POP-0062,,Karton,41703.63636,0.02,5,2,9400,91748,1
18/02/2022,SNI20220217-464,6696695,,14,Promotion Discount,,,-2.00%,0.02,5,,,0,1
18/02/2022,SNI20220217-464,6696695,,14,POP-0064,,Karton,41703.63636,0.02,5,2,9400,91748,1
18/02/2022,SNI20220217-464,6696695,,14,Promotion Discount,,,-2.00%,0.02,5,,,0,1
18/02/2022,SNI20220217-464,6696695,,14,POP-0071,,Karton,41703.63636,0.02,5,2,9400,91748,1
18/02/2022,SNI20220217-464,6696695,,14,Promotion Discount,,,-2.00%,0.02,5,,,0,1
18/02/2022,SNI20220217-464,6696695,,14,POP-0069,,Karton,41703.63636,0.02,5,2,9400,91748,1
18/02/2022,SNI20220217-464,6696695,,14,Promotion Discount,,,-2.00%,0.02,5,,,0,1
21/02/2022,SNI20220219-579,6697457,,14,NJL-0031,,Karton,42448.18182,0.01,5,1,0,46693,1
21/02/2022,SNI20220219-579,6697457,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
21/02/2022,SNI20220219-579,6697457,,14,NJL-0039,,Karton,16185.45455,0.01,5,1,0,17804,1
21/02/2022,SNI20220219-579,6697457,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
21/02/2022,SNI20220219-579,6697457,,14,NJL-0035,,Karton,16185.45455,0.01,5,1,0,17804,1
21/02/2022,SNI20220219-579,6697457,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
21/02/2022,SNI20220219-579,6697457,,14,NJL-0019,,Karton,6439.090909,0.01,5,3,0,21249,1
21/02/2022,SNI20220219-579,6697457,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
21/02/2022,SNI20220219-579,6697457,,14,NJL-0018,,Karton,6439.090909,0.01,5,3,0,21249,1
21/02/2022,SNI20220219-579,6697457,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
