cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6589337,SNI20220119-582,19/1/2022,Print,SNI20220119-582,SNI-173,SNI-173,,,IDR,"Rp2.878.890,76",2878890.76,,261715,,,2878890.76
6589381,SNI20220119-583,19/1/2022,Print,SNI20220119-583,SNI-575,SNI-575,,,IDR,"Rp177.783,06",177783.06,,16160,,,177783.06
6589338,SNI20220119-584,19/1/2022,Print,SNI20220119-584,5440,SNI-324,,,IDR,"Rp4.705.308,76",4705308.76,,427758,,,4705308.76
6557373,SNI20220119-585,19/1/2022,Print,SNI20220119-585,SNI-170,SNI-170,,,IDR,"Rp768.123,10",768123.1,,69829,,,768123.1
6557161,SNI20220120-631,20/1/2022,Print,SNI20220120-631,139896,SNI-261,,,IDR,"Rp269.764,54",269764.54,,24520,,,269764.54
6589339,SNI20220120-632,20/1/2022,Print,SNI20220120-632,109863,SNI-425,,,IDR,"Rp4.002.160,49",4002160.49,,363835,,,4002160.49
6589382,SNI20220120-633,20/1/2022,Print,SNI20220120-633,SNI-327,SNI-327,,,IDR,"Rp1.468.074,52",1468074.52,,133461,,,1468074.52
6589383,SNI20220120-634,20/1/2022,Print,SNI20220120-634,16190,SNI-665,,,IDR,"Rp137.935,89",137935.89,,12541,,,137935.89
6589384,SNI20220120-635,20/1/2022,Print,SNI20220120-635,SNI-331,SNI-331,,,IDR,"Rp162.141,91",162141.91,,14741,,,162141.91
6557374,SNI20220120-636,20/1/2022,Print,SNI20220120-636,JBG-824,SNI-340,,,IDR,"Rp1.363.423,56",1363423.56,,123947,,,1363423.56
6557166,SNI20220120-637,20/1/2022,Print,SNI20220120-637,SNI-344,SNI-344,,,IDR,"Rp224.805,47",224805.47,,20436,,,224805.47
6557167,SNI20220120-638,20/1/2022,Print,SNI20220120-638,8929,SNI-346,,,IDR,"Rp179.843,36",179843.36,,16347,,,179843.36
6557168,SNI20220120-639,20/1/2022,Print,SNI20220120-639,SNI-487,SNI-487,,,IDR,"Rp151.695,93",151695.93,,13789,,,151695.93
6557169,SNI20220120-640,20/1/2022,Print,SNI20220120-640,SNI-488,SNI-488,,,IDR,"Rp5.577.612,26",5577612.26,,507057,,,5577612.26
6557375,SNI20220120-641,20/1/2022,Print,SNI20220120-641,SNI-345,SNI-345,,,IDR,"Rp702.066,66",702066.66,,63825,,,702066.66
6589441,SNI20220120-642,20/1/2022,Print,SNI20220120-642,140681,SNI-153,,,IDR,"Rp3.501.933,96",3501933.96,,318357,,,3501933.96
6557376,SNI20220120-643,20/1/2022,Print,SNI20220120-643,9626,SNI-859,,,IDR,"Rp451.566,64",451566.64,,41051,,,451566.64
6557171,SNI20220120-644,20/1/2022,Print,SNI20220120-644,SNI-358,SNI-358,,,IDR,"Rp89.922,20",89922.2,,8175,,,89922.2
6557454,SNI20220120-645,20/1/2022,Print,SNI20220120-645,50089,SNI-070,,,IDR,"Rp132.413,00",132413,,12038,,,132413
6589442,SNI20220120-646,20/1/2022,Print,SNI20220120-646,SNI-548,SNI-548,,,IDR,"Rp412.440,40",412440.4,,37494,,,412440.4
