cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6592511,SNI20220416-368,16/4/2022,Print,SNI20220416-368,SNI-088,SNI-088,,,IDR,"Rp988.561,31",988561.31,,97966,,,988561.31
6592512,SNI20220416-369,16/4/2022,Print,SNI20220416-369,140681,SNI-153,,,IDR,"Rp1.940.594,80",1940594.8,,192313,,,1940594.8
6592513,SNI20220416-370,16/4/2022,Print,SNI20220416-370,SNI-123,SNI-123,,,IDR,"Rp554.151,50",554151.5,,54916,,,554151.5
6592514,SNI20220416-371,16/4/2022,Print,SNI20220416-371,171942,SNI-574,,,IDR,"Rp270.124,85",270124.85,,26767,,,270124.85
6592747,SNI20220416-372,16/4/2022,Print,SNI20220416-372,160472,SNI-124,,,IDR,"Rp67.151,92",67151.92,,6655,,,67151.92
6592515,SNI20220416-373,16/4/2022,Print,SNI20220416-373,175484,SNI-580,,,IDR,"Rp93.768,76",93768.76,,9291,,,93768.76
6592516,SNI20220416-374,16/4/2022,Print,SNI20220416-374,SNI-911,SNI-911,,,IDR,"Rp148.284,53",148284.53,,14692,,,148284.53
6592517,SNI20220416-375,16/4/2022,Print,SNI20220416-375,SNI-575,SNI-575,,,IDR,"Rp134.015,56",134015.56,,13279,,,134015.56
6592518,SNI20220416-376,16/4/2022,Print,SNI20220416-376,189643,SNI-578,,,IDR,"Rp43.066,08",43066.08,,4268,,,43066.08
6592519,SNI20220416-377,16/4/2022,Print,SNI20220416-377,160472,SNI-583,,,IDR,"Rp66.676,76",66676.76,,6607,,,66676.76
6592520,SNI20220416-378,16/4/2022,Print,SNI20220416-378,SNI-169,SNI-169,,,IDR,"Rp6.463.908,19",6463908.19,,640568,,,6463908.19
6592521,SNI20220416-379,16/4/2022,Print,SNI20220416-379,139896,SNI-261,,,IDR,"Rp307.434,34",307434.34,,30462,,,307434.34
6592522,SNI20220416-380,16/4/2022,Print,SNI20220416-380,8597,SNI-073,,,IDR,"Rp4.503.565,54",4503565.54,,446301,,,4503565.54
6592528,SNI20220416-381,16/4/2022,Print,SNI20220416-381,6821,SNI-155,,,IDR,"Rp3.128.362,70",3128362.7,,310018,,,3128362.7
6592804,SNI20220416-445,16/4/2022,Print,SNI20220416-445,SNI-570,SNI-570,,,IDR,"Rp4.549.800,00",4549800,,450881,,,4549800
6592529,SNI20220418-446,18/4/2022,Print,SNI20220418-446,9626,SNI-859,,,IDR,"Rp9.043.789,89",9043789.89,,896231,,,9043789.89
6592748,SNI20220418-447,18/4/2022,Print,SNI20220418-447,5676,SNI-567,,,IDR,"Rp226.826,64",226826.64,,22479,,,226826.64
6592530,SNI20220418-448,18/4/2022,Print,SNI20220418-448,SNI-339,SNI-339,,,IDR,"Rp354.328,69",354328.69,,35116,,,354328.69
6592749,SNI20220418-449,18/4/2022,Print,SNI20220418-449,SNI-649,SNI-649,,,IDR,"Rp323.519,78",323519.78,,32057,,,323519.78
6592750,SNI20220418-450,18/4/2022,Print,SNI20220418-450,SNI-475,SNI-475,,,IDR,"Rp226.824,60",226824.6,,22475,,,226824.6
6592531,SNI20220418-451,18/4/2022,Print,SNI20220418-451,7617,SNI-181,,,IDR,"Rp7.622.160,52",7622160.52,,755350,,,7622160.52
6592532,SNI20220418-452,18/4/2022,Print,SNI20220418-452,SNI-615,SNI-615,,,IDR,"Rp129.888,08",129888.08,,12871,,,129888.08
