cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6594122,SNI20220326-851,26/3/2022,Print,SNI20220326-851,JBG-091,SNI-230,,,IDR,"Rp191.181,06",191181.06,,17381,,,191181.06
6594123,SNI20220326-852,26/3/2022,Print,SNI20220326-852,SNI-641,SNI-641,,,IDR,"Rp545.390,46",545390.46,,49582,,,545390.46
6594124,SNI20220326-853,26/3/2022,Print,SNI20220326-853,SNI-642,SNI-642,,,IDR,"Rp42.246,22",42246.22,,3841,,,42246.22
6594125,SNI20220326-854,26/3/2022,Print,SNI20220326-854,26722,SNI-643,,,IDR,"Rp605.123,22",605123.22,,55011,,,605123.22
6594126,SNI20220326-855,26/3/2022,Print,SNI20220326-855,5162,SNI-902,,,IDR,"Rp269.765,56",269765.56,,24522,,,269765.56
6594127,SNI20220326-856,26/3/2022,Print,SNI20220326-856,1051,SNI-901,,,IDR,"Rp340.132,56",340132.56,,30921,,,340132.56
6594128,SNI20220326-857,26/3/2022,Print,SNI20220326-857,SNI-198,SNI-198,,,IDR,"Rp10.543.913,41",10543913.41,,958537,,,10543913.41
6594129,SNI20220326-858,26/3/2022,Print,SNI20220326-858,41194,SNI-588,,,IDR,"Rp280.431,75",280431.75,,25495,,,280431.75
6594130,SNI20220326-859,26/3/2022,Print,SNI20220326-859,SNI-927,SNI-927,,,IDR,"Rp642.333,32",642333.32,,58394,,,642333.32
6594131,SNI20220326-860,26/3/2022,Print,SNI20220326-860,SNI-911,SNI-911,,,IDR,"Rp167.708,44",167708.44,,15248,,,167708.44
6594132,SNI20220326-861,26/3/2022,Print,SNI20220326-861,SNI-575,SNI-575,,,IDR,"Rp302.589,69",302589.69,,27506,,,302589.69
6594322,SNI20220326-862,26/3/2022,Print,SNI20220326-862,SNI-569,SNI-569,,,IDR,"Rp5.304.522,00",5304522,,482228,,,5304522
6594323,SNI20220326-863,26/3/2022,Print,SNI20220326-863,SNI-568,SNI-568,,,IDR,"Rp1.064.880,00",1064880,,96807,,,1064880
6594325,SNI20220328-1041,28/3/2022,Print,SNI20220328-1041,SNI-568,SNI-568,,,IDR,"Rp3.466.638,00",3466638,,315149,,,3466638
6594324,SNI20220328-864,28/3/2022,Print,SNI20220328-864,SNI-568,SNI-568,,,IDR,"Rp220.104,00",220104,,20009,,,220104
6594133,SNI20220328-865,28/3/2022,Print,SNI20220328-865,6841,SNI-164,,,IDR,"Rp22.544.565,75",22544565.75,,2049499,,,22544565.75
6594134,SNI20220328-866,28/3/2022,Print,SNI20220328-866,SNI-079,SNI-079,,,IDR,"Rp1.034.805,97",1034805.97,,94074,,,1034805.97
6594144,SNI20220328-867,28/3/2022,Print,SNI20220328-867,109863,SNI-425,,,IDR,"Rp4.346.455,90",4346455.9,,395133,,,4346455.9
6594135,SNI20220328-868,28/3/2022,Print,SNI20220328-868,48478,SNI-557,,,IDR,"Rp2.813.452,32",2813452.32,,255770,,,2813452.32
6594136,SNI20220328-869,28/3/2022,Print,SNI20220328-869,SNI-549,SNI-549,,,IDR,"Rp2.616.468,43",2616468.43,,237860,,,2616468.43
6594137,SNI20220328-870,28/3/2022,Print,SNI20220328-870,140681,SNI-153,,,IDR,"Rp1.870.408,48",1870408.48,,170036,,,1870408.48
6594138,SNI20220328-871,28/3/2022,Print,SNI20220328-871,109212,SNI-312,,,IDR,"Rp3.942.634,49",3942634.49,,358420,,,3942634.49
