cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6693266,,19/2/2022,Print,SNI20220219-586,SNI-664,SNI20220219-586,,,IDR,"Rp203.161,50",203161.5,,18468,,,203161.5
6693267,,19/2/2022,Print,SNI20220219-587,SNI-109,SNI20220219-587,,,IDR,"Rp336.986,58",336986.58,,30635,,,336986.58
6693268,,19/2/2022,Print,SNI20220219-588,SNI-108,SNI20220219-588,,,IDR,"Rp65.780,49",65780.49,,5980,,,65780.49
6693269,,19/2/2022,Print,SNI20220219-589,SNI-112,SNI20220219-589,,,IDR,"Rp110.737,07",110737.07,,10067,,,110737.07
6693270,,19/2/2022,Print,SNI20220219-635,SNI-570,SNI20220219-635,,,IDR,"Rp13.163.426,50",13163426.5,,1196671,,,13163426.5
6693271,,19/2/2022,Print,SNI20220219-636,SNI-568,SNI20220219-636,,,IDR,"Rp5.729.473,20",5729473.2,,520860,,,5729473.2
6693272,,21/2/2022,Print,SNI20220221-637,SNI-199,SNI20220221-637,,,IDR,"Rp184.006,23",184006.23,,16729,,,184006.23
6693273,,21/2/2022,Print,SNI20220221-638,SNI-567,SNI20220221-638,,,IDR,"Rp33.624,09",33624.09,,3057,,,33624.09
6693274,,21/2/2022,Print,SNI20220221-639,SNI-649,SNI20220221-639,,,IDR,"Rp275.218,48",275218.48,,25020,,,275218.48
6693275,,21/2/2022,Print,SNI20220221-640,SNI-475,SNI20220221-640,,,IDR,"Rp224.782,85",224782.85,,20435,,,224782.85
6693276,,21/2/2022,Print,SNI20220221-641,SNI-508,SNI20220221-641,,,IDR,"Rp326.176,10",326176.1,,29653,,,326176.1
6693277,,21/2/2022,Print,SNI20220221-642,SNI-608,SNI20220221-642,,,IDR,"Rp111.336,93",111336.93,,10122,,,111336.93
6693278,,21/2/2022,Print,SNI20220221-643,SNI-148,SNI20220221-643,,,IDR,"Rp808.996,30",808996.3,,73545,,,808996.3
6693279,,21/2/2022,Print,SNI20220221-644,SNI-439,SNI20220221-644,,,IDR,"Rp53.953.558,32",53953558.32,,4904869,,,53953558.32
6693280,,21/2/2022,Print,SNI20220221-645,SNI-859,SNI20220221-645,,,IDR,"Rp3.690.371,59",3690371.59,,335490,,,3690371.59
6693281,,21/2/2022,Print,SNI20220221-646,SNI-588,SNI20220221-646,,,IDR,"Rp312.024,53",312024.53,,28368,,,312024.53
6693282,,21/2/2022,Print,SNI20220221-647,SNI-548,SNI20220221-647,,,IDR,"Rp223.164,80",223164.8,,20287,,,223164.8
6693283,,21/2/2022,Print,SNI20220221-648,SNI-892,SNI20220221-648,,,IDR,"Rp426.573,38",426573.38,,38779,,,426573.38
6693284,,21/2/2022,Print,SNI20220221-649,SNI-591,SNI20220221-649,,,IDR,"Rp179.841,94",179841.94,,16347,,,179841.94
6693285,,21/2/2022,Print,SNI20220221-650,SNI-029,SNI20220221-650,,,IDR,"Rp114.381,26",114381.26,,10398,,,114381.26
6693286,,21/2/2022,Print,SNI20220221-651,SNI-425,SNI20220221-651,,,IDR,"Rp2.965.330,36",2965330.36,,269574,,,2965330.36
6693287,,22/2/2022,Print,SNI20220222-702,SNI-228,SNI20220222-702,,,IDR,"Rp404.609,13",404609.13,,36783,,,404609.13
