cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6593923,SNI20220315-351,15/3/2022,Print,SNI20220315-351,JBR-434,SNI-363,,,IDR,"Rp499.565,57",499565.57,,45410,,,499565.57
6593924,SNI20220316-352,16/3/2022,Print,SNI20220316-352,SNI-930,SNI-930,,,IDR,"Rp89.545,73",89545.73,,8141,,,89545.73
6593925,SNI20220316-353,16/3/2022,Print,SNI20220316-353,SNI-869,SNI-869,,,IDR,"Rp899.071,67",899071.67,,81731,,,899071.67
6593926,SNI20220316-354,16/3/2022,Print,SNI20220316-354,131746,SNI-228,,,IDR,"Rp328.556,34",328556.34,,29869,,,328556.34
6593927,SNI20220316-355,16/3/2022,Print,SNI20220316-355,9173,SNI-868,,,IDR,"Rp969.849,55",969849.55,,88169,,,969849.55
6593928,SNI20220316-356,16/3/2022,Print,SNI20220316-356,GRK-020,SNI-497,,,IDR,"Rp276.082,01",276082.01,,25098,,,276082.01
6593929,SNI20220316-357,16/3/2022,Print,SNI20220316-357,SNI-199,SNI-199,,,IDR,"Rp354.342,45",354342.45,,32212,,,354342.45
6593930,SNI20220316-358,16/3/2022,Print,SNI20220316-358,SNI-913,SNI-913,,,IDR,"Rp314.697,46",314697.46,,28609,,,314697.46
6593931,SNI20220316-359,16/3/2022,Print,SNI20220316-359,124693,SNI-266,,,IDR,"Rp234.664,47",234664.47,,21331,,,234664.47
6593932,SNI20220316-360,16/3/2022,Print,SNI20220316-360,129323,SNI-931,,,IDR,"Rp35.252,29",35252.29,,3205,,,35252.29
6593933,SNI20220316-361,16/3/2022,Print,SNI20220316-361,123430,SNI-932,,,IDR,"Rp68.570,33",68570.33,,6233,,,68570.33
6593934,SNI20220316-362,16/3/2022,Print,SNI20220316-362,SNI-025,SNI-025,,,IDR,"Rp141.932,16",141932.16,,12902,,,141932.16
6593935,SNI20220316-363,16/3/2022,Print,SNI20220316-363,SNI-426,SNI-426,,,IDR,"Rp10.846.329,49",10846329.49,,986027,,,10846329.49
6593953,SNI20220316-364,16/3/2022,Print,SNI20220316-364,SNI-757,SNI-757,,,IDR,"Rp21.581.420,44",21581420.44,,1961943,,,21581420.44
6593936,SNI20220316-365,16/3/2022,Print,SNI20220316-365,166726,SNI-371,,,IDR,"Rp21.581.421,44",21581421.44,,1961944,,,21581421.44
6593955,SNI20220316-367,16/3/2022,Print,SNI20220316-367,SNI-364,SNI-364,,,IDR,"Rp43.162.844,11",43162844.11,,3923893,,,43162844.11
6593954,SNI20220316-368,16/3/2022,Print,SNI20220316-368,SNI-933,SNI-933,,,IDR,"Rp26.189.027,52",26189027.52,,2380818,,,26189027.52
6593937,SNI20220316-369,16/3/2022,Print,SNI20220316-369,SNI-029,SNI-029,,,IDR,"Rp523.407,79",523407.79,,47581,,,523407.79
6593938,SNI20220316-370,16/3/2022,Print,SNI20220316-370,JBR-329,SNI-263,,,IDR,"Rp758.088,84",758088.84,,68916,,,758088.84
6593939,SNI20220316-371,16/3/2022,Print,SNI20220316-371,SNI-265,SNI-265,,,IDR,"Rp252.707,56",252707.56,,22978,,,252707.56
6593940,SNI20220316-372,16/3/2022,Print,SNI20220316-372,SNI-668,SNI-668,,,IDR,"Rp224.804,45",224804.45,,20434,,,224804.45
6593941,SNI20220316-373,16/3/2022,Print,SNI20220316-373,SNI-331,SNI-331,,,IDR,"Rp521.045,10",521045.1,,47367,,,521045.1
