cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6693025,,4/2/2022,Print,SNI20220204-33,SNI-222,SNI20220204-33,,,IDR,"Rp175.692,20",175692.2,,15971,,,175692.2
6693026,,4/2/2022,Print,SNI20220204-34,SNI-499,SNI20220204-34,,,IDR,"Rp767.067,98",767067.98,,69735,,,767067.98
6693027,,4/2/2022,Print,SNI20220204-35,SNI-212,SNI20220204-35,,,IDR,"Rp103.768,50",103768.5,,9435,,,103768.5
6693028,,4/2/2022,Print,SNI20220204-36,SNI-217,SNI20220204-36,,,IDR,"Rp598.755,64",598755.64,,54432,,,598755.64
6693029,,4/2/2022,Print,SNI20220204-38,SNI-221,SNI20220204-38,,,IDR,"Rp375.890,30",375890.3,,34172,,,375890.3
6693030,,4/2/2022,Print,SNI20220204-39,SNI-208,SNI20220204-39,,,IDR,"Rp224.782,83",224782.83,,20435,,,224782.83
6693031,,4/2/2022,Print,SNI20220204-40,SNI-058,SNI20220204-40,,,IDR,"Rp6.507.799,11",6507799.11,,591617,,,6507799.11
6693032,,5/2/2022,Print,SNI20220205-41,SNI-470,SNI20220205-41,,,IDR,"Rp180.753,67",180753.67,,16433,,,180753.67
6693033,,5/2/2022,Print,SNI20220205-42,SNI-216,SNI20220205-42,,,IDR,"Rp131.208,50",131208.5,,11927,,,131208.5
6693034,,5/2/2022,Print,SNI20220205-43,SNI-891,SNI20220205-43,,,IDR,"Rp224.805,67",224805.67,,20437,,,224805.67
6693035,,5/2/2022,Print,SNI20220205-44,SNI-223,SNI20220205-44,,,IDR,"Rp224.804,67",224804.67,,20436,,,224804.67
6693036,,5/2/2022,Print,SNI20220205-45,SNI-109,SNI20220205-45,,,IDR,"Rp179.826,26",179826.26,,16348,,,179826.26
6693037,,5/2/2022,Print,SNI20220205-76,SNI-570,SNI20220205-76,,,IDR,"Rp11.334.238,64",11334238.64,,1030385,,,11334238.64
6693038,,5/2/2022,Print,SNI20220205-77,SNI-571,SNI20220205-77,,,IDR,"Rp425.248,92",425248.92,,38658,,,425248.92
6693039,,5/2/2022,Print,SNI20220205-78,SNI-572,SNI20220205-78,,,IDR,"Rp708.748,20",708748.2,,64430,,,708748.2
6693040,,7/2/2022,Print,SNI20220207-79,SNI-108,SNI20220207-79,,,IDR,"Rp157.298,93",157298.93,,14300,,,157298.93
6693041,,7/2/2022,Print,SNI20220207-80,SNI-199,SNI20220207-80,,,IDR,"Rp454.833,40",454833.4,,41350,,,454833.4
6693042,,7/2/2022,Print,SNI20220207-81,SNI-508,SNI20220207-81,,,IDR,"Rp396.909,20",396909.2,,36083,,,396909.2
6693043,,7/2/2022,Print,SNI20220207-82,SNI-892,SNI20220207-82,,,IDR,"Rp449.611,34",449611.34,,40874,,,449611.34
6693044,,7/2/2022,Print,SNI20220207-83,SNI-687,SNI20220207-83,,,IDR,"Rp42.549,00",42549,,3867,,,42549
6693045,,7/2/2022,Print,SNI20220207-84,SNI-026,SNI20220207-84,,,IDR,"Rp449.609,34",449609.34,,40872,,,449609.34
6693046,,7/2/2022,Print,SNI20220207-85,SNI-893,SNI20220207-85,,,IDR,"Rp60.945,90",60945.9,,5541,,,60945.9
