cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6592591,SNI20220423-723,23/4/2022,Print,SNI20220423-723,SNI-199,SNI-199,,,IDR,"Rp246.166,17",246166.17,,24396,,,246166.17
6592592,SNI20220423-724,23/4/2022,Print,SNI20220423-724,SNI-142,SNI-142,,,IDR,"Rp27.657.555,39",27657555.39,,2740842,,,27657555.39
6592776,SNI20220423-725,23/4/2022,Print,SNI20220423-725,43175,SNI-650,,,IDR,"Rp150.430,04",150430.04,,14903,,,150430.04
6592593,SNI20220423-726,23/4/2022,Print,SNI20220423-726,21151,SNI-775,,,IDR,"Rp20.253.167,52",20253167.52,,2007071,,,20253167.52
6592594,SNI20220423-727,23/4/2022,Print,SNI20220423-727,7516,SNI-035,,,IDR,"Rp485.300,88",485300.88,,48091,,,485300.88
6592595,SNI20220423-728,23/4/2022,Print,SNI20220423-728,SNI-651,SNI-651,,,IDR,"Rp870.754,05",870754.05,,86283,,,870754.05
6592596,SNI20220423-729,23/4/2022,Print,SNI20220423-729,SNI-232,SNI-232,,,IDR,"Rp13.379.364,51",13379364.51,,1325893,,,13379364.51
6592777,SNI20220423-730,23/4/2022,Print,SNI20220423-730,SNI-558,SNI-558,,,IDR,"Rp247.904,00",247904,,24562,,,247904
6592778,SNI20220423-731,23/4/2022,Print,SNI20220423-731,SNI-208,SNI-208,,,IDR,"Rp453.652,26",453652.26,,44956,,,453652.26
6592779,SNI20220423-732,23/4/2022,Print,SNI20220423-732,SNI-681,SNI-681,,,IDR,"Rp144.354,94",144354.94,,14306,,,144354.94
6592810,SNI20220423-835,23/4/2022,Print,SNI20220423-835,SNI-568,SNI-568,,,IDR,"Rp1.066.500,00",1066500,,105688,,,1066500
6592597,SNI20220425-733,25/4/2022,Print,SNI20220425-733,165973,SNI-864,,,IDR,"Rp26.433.108,76",26433108.76,,2619499,,,26433108.76
6592598,SNI20220425-805,25/4/2022,Print,SNI20220425-805,SNI-453,SNI-453,,,IDR,"Rp1.778.314,50",1778314.5,,176229,,,1778314.5
6592599,SNI20220425-806,25/4/2022,Print,SNI20220425-806,SNI-953,SNI-953,,,IDR,"Rp272.218,54",272218.54,,26974,,,272218.54
6592600,SNI20220425-807,25/4/2022,Print,SNI20220425-807,139896,SNI-261,,,IDR,"Rp90.739,20",90739.2,,8992,,,90739.2
6592601,SNI20220425-808,25/4/2022,Print,SNI20220425-808,SNI-333,SNI-333,,,IDR,"Rp229.146,03",229146.03,,22708,,,229146.03
6592602,SNI20220425-809,25/4/2022,Print,SNI20220425-809,11145,SNI-037,,,IDR,"Rp3.872.478,83",3872478.83,,383764,,,3872478.83
6592603,SNI20220425-810,25/4/2022,Print,SNI20220425-810,128315,SNI-741,,,IDR,"Rp4.627.073,44",4627073.44,,458541,,,4627073.44
6592780,SNI20220425-811,25/4/2022,Print,SNI20220425-811,SNI-772,SNI-772,,,IDR,"Rp257.889,19",257889.19,,25555,,,257889.19
6592781,SNI20220425-812,25/4/2022,Print,SNI20220425-812,5676,SNI-567,,,IDR,"Rp499.828,32",499828.32,,49534,,,499828.32
6592782,SNI20220425-813,25/4/2022,Print,SNI20220425-813,SNI-649,SNI-649,,,IDR,"Rp545.998,30",545998.3,,54102,,,545998.3
6592604,SNI20220425-814,25/4/2022,Print,SNI20220425-814,SNI-173,SNI-173,,,IDR,"Rp4.001.206,37",4001206.37,,396514,,,4001206.37
