cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6592169,SNI20220406-81,6/4/2022,Print,SNI20220406-81,SNI-258,SNI-258,,,IDR,"Rp360.260,10",360260.1,,35699,,,360260.1
6592678,SNI20220406-82,6/4/2022,Print,SNI20220406-82,SNI-896,SNI-896,,,IDR,"Rp35.572,29",35572.29,,3525,,,35572.29
6592170,SNI20220406-83,6/4/2022,Print,SNI20220406-83,SNI-006,SNI-006,,,IDR,"Rp228.909,78",228909.78,,22684,,,228909.78
6592171,SNI20220406-84,6/4/2022,Print,SNI20220406-84,SNI-255,SNI-255,,,IDR,"Rp211.298,92",211298.92,,20939,,,211298.92
6592172,SNI20220406-85,6/4/2022,Print,SNI20220406-85,SNI-498,SNI-498,,,IDR,"Rp1.860.157,06",1860157.06,,184337,,,1860157.06
6592679,SNI20220406-86,6/4/2022,Print,SNI20220406-86,SNI-529,SNI-529,,,IDR,"Rp71.144,57",71144.57,,7049,,,71144.57
6592173,SNI20220406-87,6/4/2022,Print,SNI20220406-87,SNI-869,SNI-869,,,IDR,"Rp1.374.731,38",1374731.38,,136229,,,1374731.38
6592685,SNI20220407-100,7/4/2022,Print,SNI20220407-100,SNI-941,SNI-941,,,IDR,"Rp408.811,74",408811.74,,40515,,,408811.74
6592182,SNI20220407-101,7/4/2022,Print,SNI20220407-101,SNI-343,SNI-343,,,IDR,"Rp1.807.845,96",1807845.96,,179154,,,1807845.96
6592686,SNI20220407-102,7/4/2022,Print,SNI20220407-102,5481,SNI-293,,,IDR,"Rp90.730,86",90730.86,,8992,,,90730.86
6592687,SNI20220407-103,7/4/2022,Print,SNI20220407-103,93966,SNI-486,,,IDR,"Rp217.483,38",217483.38,,21551,,,217483.38
6592183,SNI20220407-104,7/4/2022,Print,SNI20220407-104,SNI-396,SNI-396,,,IDR,"Rp22.610.135,08",22610135.08,,2240635,,,22610135.08
6592184,SNI20220407-105,7/4/2022,Print,SNI20220407-105,11163,SNI-751,,,IDR,"Rp19.802.423,08",19802423.08,,1962404,,,19802423.08
6592185,SNI20220407-106,7/4/2022,Print,SNI20220407-106,111256,SNI-381,,,IDR,"Rp137.727,66",137727.66,,13647,,,137727.66
6592688,SNI20220407-107,7/4/2022,Print,SNI20220407-107,SNI-029,SNI-029,,,IDR,"Rp390.033,90",390033.9,,38650,,,390033.9
6592689,SNI20220407-108,7/4/2022,Print,SNI20220407-108,SNI-026,SNI-026,,,IDR,"Rp236.708,92",236708.92,,23457,,,236708.92
6592690,SNI20220407-109,7/4/2022,Print,SNI20220407-109,SNI-022,SNI-022,,,IDR,"Rp233.229,61",233229.61,,23113,,,233229.61
6592691,SNI20220407-110,7/4/2022,Print,SNI20220407-110,SNI-272,SNI-272,,,IDR,"Rp21.229,81",21229.81,,2104,,,21229.81
6592186,SNI20220407-111,7/4/2022,Print,SNI20220407-111,130473,SNI-264,,,IDR,"Rp184.718,18",184718.18,,18307,,,184718.18
6592187,SNI20220407-112,7/4/2022,Print,SNI20220407-112,SNI-009,SNI-009,,,IDR,"Rp90.739,18",90739.18,,8991,,,90739.18
6592188,SNI20220407-113,7/4/2022,Print,SNI20220407-113,124693,SNI-266,,,IDR,"Rp217.504,35",217504.35,,21551,,,217504.35
6592189,SNI20220407-114,7/4/2022,Print,SNI20220407-114,SNI-357,SNI-357,,,IDR,"Rp143.826,12",143826.12,,14252,,,143826.12
