cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6589372,SNI20220112-251,12/1/2022,Print,SNI20220112-251,15478,SNI-607,,,IDR,"Rp84.437,99",84437.99,,7676,,,84437.99
6557328,SNI20220112-252,12/1/2022,Print,SNI20220112-252,SNI-707,SNI-707,,,IDR,"Rp899.131,54",899131.54,,81740,,,899131.54
6557329,SNI20220112-253,12/1/2022,Print,SNI20220112-253,SNI-323,SNI-323,,,IDR,"Rp620.842,58",620842.58,,56440,,,620842.58
6589373,SNI20220112-254,12/1/2022,Print,SNI20220112-254,SNI-304,SNI-304,,,IDR,"Rp1.302.508,16",1302508.16,,118414,,,1302508.16
6557330,SNI20220112-255,12/1/2022,Print,SNI20220112-255,SNI-109,SNI-109,,,IDR,"Rp162.586,56",162586.56,,14781,,,162586.56
6589374,SNI20220112-256,12/1/2022,Print,SNI20220112-256,SNI-708,SNI-708,,,IDR,"Rp107.915,10",107915.1,,9812,,,107915.1
6556966,SNI20220113-303,13/1/2022,Print,SNI20220113-303,SNI-420,SNI-420,,,IDR,"Rp7.696.721,73",7696721.73,,699701,,,7696721.73
6589355,SNI20220113-304,13/1/2022,Print,SNI20220113-304,SNI-426,SNI-426,,,IDR,"Rp26.898.907,17",26898907.17,,2445354,,,26898907.17
6589375,SNI20220113-305,13/1/2022,Print,SNI20220113-305,SNI-544,SNI-544,,,IDR,"Rp316.952,96",316952.96,,28815,,,316952.96
6557331,SNI20220113-306,13/1/2022,Print,SNI20220113-306,171942,SNI-574,,,IDR,"Rp654.059,32",654059.32,,59460,,,654059.32
6557332,SNI20220113-307,13/1/2022,Print,SNI20220113-307,117295,SNI-500,,,IDR,"Rp415.965,30",415965.3,,37815,,,415965.3
6589327,SNI20220113-308,13/1/2022,Print,SNI20220113-308,SNI-637,SNI-637,,,IDR,"Rp1.296.827,27",1296827.27,,117896,,,1296827.27
6557079,SNI20220113-309,13/1/2022,Print,SNI20220113-309,SNI-636,SNI-636,,,IDR,"Rp291.648,61",291648.61,,26510,,,291648.61
6557080,SNI20220113-310,13/1/2022,Print,SNI20220113-310,44595,SNI-736,,,IDR,"Rp653.715,60",653715.6,,59430,,,653715.6
6589419,SNI20220113-311,13/1/2022,Print,SNI20220113-311,SNI-088,SNI-088,,,IDR,"Rp1.063.229,39",1063229.39,,96656,,,1063229.39
6557082,SNI20220113-312,13/1/2022,Print,SNI20220113-312,SNI-325,SNI-325,,,IDR,"Rp409.314,71",409314.71,,37207,,,409314.71
6557083,SNI20220113-313,13/1/2022,Print,SNI20220113-313,8929,SNI-346,,,IDR,"Rp213.470,66",213470.66,,19404,,,213470.66
6557333,SNI20220113-314,13/1/2022,Print,SNI20220113-314,SNI-345,SNI-345,,,IDR,"Rp809.218,68",809218.68,,73566,,,809218.68
6557084,SNI20220113-315,13/1/2022,Print,SNI20220113-315,SNI-487,SNI-487,,,IDR,"Rp255.477,28",255477.28,,23222,,,255477.28
6557085,SNI20220113-316,13/1/2022,Print,SNI20220113-316,SNI-344,SNI-344,,,IDR,"Rp126.074,87",126074.87,,11461,,,126074.87
