cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6693097,,10/2/2022,Print,SNI20220210-172,SNI-225,SNI20220210-172,,,IDR,"Rp210.015,60",210015.6,,19092,,,210015.6
6693098,,10/2/2022,Print,SNI20220210-173,SNI-156,SNI20220210-173,,,IDR,"Rp311.420,69",311420.69,,28309,,,311420.69
6693099,,10/2/2022,Print,SNI20220210-174,SNI-340,SNI20220210-174,,,IDR,"Rp868.563,82",868563.82,,78960,,,868563.82
6693100,,10/2/2022,Print,SNI20220210-175,SNI-333,SNI20220210-175,,,IDR,"Rp1.392.889,55",1392889.55,,126628,,,1392889.55
6693101,,10/2/2022,Print,SNI20220210-176,SNI-339,SNI20220210-176,,,IDR,"Rp138.679,10",138679.1,,12608,,,138679.1
6693102,,10/2/2022,Print,SNI20220210-177,SNI-327,SNI20220210-177,,,IDR,"Rp1.279.478,44",1279478.44,,116318,,,1279478.44
6693103,,10/2/2022,Print,SNI20220210-178,SNI-668,SNI20220210-178,,,IDR,"Rp401.698,13",401698.13,,36520,,,401698.13
6693104,,10/2/2022,Print,SNI20220210-179,SNI-726,SNI20220210-179,,,IDR,"Rp1.101.320,05",1101320.05,,100120,,,1101320.05
6693105,,10/2/2022,Print,SNI20220210-180,SNI-346,SNI20220210-180,,,IDR,"Rp343.715,92",343715.92,,31244,,,343715.92
6693106,,10/2/2022,Print,SNI20220210-181,SNI-587,SNI20220210-181,,,IDR,"Rp329.003,55",329003.55,,29910,,,329003.55
6693107,,10/2/2022,Print,SNI20220210-182,SNI-345,SNI20220210-182,,,IDR,"Rp831.013,55",831013.55,,75547,,,831013.55
6693108,,10/2/2022,Print,SNI20220210-183,SNI-356,SNI20220210-183,,,IDR,"Rp426.172,95",426172.95,,38743,,,426172.95
6693109,,10/2/2022,Print,SNI20220210-184,SNI-592,SNI20220210-184,,,IDR,"Rp294.105,61",294105.61,,26737,,,294105.61
6693110,,10/2/2022,Print,SNI20220210-185,SNI-588,SNI20220210-185,,,IDR,"Rp868.950,02",868950.02,,78997,,,868950.02
6693111,,10/2/2022,Print,SNI20220210-186,SNI-384,SNI20220210-186,,,IDR,"Rp8.175.580,85",8175580.85,,743237,,,8175580.85
6693112,,10/2/2022,Print,SNI20220210-187,SNI-323,SNI20220210-187,,,IDR,"Rp584.435,35",584435.35,,53131,,,584435.35
6693113,,10/2/2022,Print,SNI20220210-188,SNI-246,SNI20220210-188,,,IDR,"Rp177.122,80",177122.8,,16102,,,177122.8
6693114,,10/2/2022,Print,SNI20220210-189,SNI-500,SNI20220210-189,,,IDR,"Rp1.423.930,86",1423930.86,,129450,,,1423930.86
6693118,,10/2/2022,Print,SNI20220210-190,SNI-439,SNI20220210-190,,,IDR,"Rp64.744.270,18",64744270.18,,5885843,,,64744270.18
6693119,,11/2/2022,Print,SNI20220211-191,SNI-898,SNI20220211-191,,,IDR,"Rp101.705,70",101705.7,,9246,,,101705.7
6693120,,11/2/2022,Print,SNI20220211-192,SNI-899,SNI20220211-192,,,IDR,"Rp79.381,60",79381.6,,7216,,,79381.6
6693121,,11/2/2022,Print,SNI20220211-193,SNI-487,SNI20220211-193,,,IDR,"Rp307.568,27",307568.27,,27960,,,307568.27
