cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6589426,SNI20220115-403,15/1/2022,Print,SNI20220115-403,SNI-792,SNI-792,,,IDR,"Rp577.636,61",577636.61,,52510,,,577636.61
6589427,SNI20220115-404,15/1/2022,Print,SNI20220115-404,SNI-651,SNI-651,,,IDR,"Rp1.117.681,00",1117681,,101608,,,1117681
6557108,SNI20220115-405,15/1/2022,Print,SNI20220115-405,1051,SNI-536,,,IDR,"Rp224.806,49",224806.49,,20438,,,224806.49
6557347,SNI20220115-406,15/1/2022,Print,SNI20220115-406,SNI-649,SNI-649,,,IDR,"Rp404.611,30",404611.3,,36783,,,404611.3
6589428,SNI20220115-407,15/1/2022,Print,SNI20220115-407,SNI-131,SNI-131,,,IDR,"Rp2.202.638,31",2202638.31,,200239,,,2202638.31
6557110,SNI20220115-408,15/1/2022,Print,SNI20220115-408,SNI-222,SNI-222,,,IDR,"Rp283.624,73",283624.73,,25781,,,283624.73
6589378,SNI20220115-409,15/1/2022,Print,SNI20220115-409,SNI-223,SNI-223,,,IDR,"Rp433.105,35",433105.35,,39372,,,433105.35
6557348,SNI20220115-410,15/1/2022,Print,SNI20220115-410,117295,SNI-500,,,IDR,"Rp2.313.885,39",2313885.39,,210356,,,2313885.39
6557112,SNI20220115-411,15/1/2022,Print,SNI20220115-411,GRK-020,SNI-497,,,IDR,"Rp433.519,97",433519.97,,39410,,,433519.97
6557349,SNI20220115-412,15/1/2022,Print,SNI20220115-412,8683,SNI-616,,,IDR,"Rp522.871,20",522871.2,,47532,,,522871.2
6557350,SNI20220115-413,15/1/2022,Print,SNI20220115-413,26722,SNI-643,,,IDR,"Rp44.956,92",44956.92,,4087,,,44956.92
6557351,SNI20220115-414,15/1/2022,Print,SNI20220115-414,SNI-793,SNI-793,,,IDR,"Rp448.883,94",448883.94,,40809,,,448883.94
6557352,SNI20220115-415,15/1/2022,Print,SNI20220115-415,SNI-548,SNI-548,,,IDR,"Rp155.985,64",155985.64,,14182,,,155985.64
6557113,SNI20220115-416,15/1/2022,Print,SNI20220115-416,SNI-537,SNI-537,,,IDR,"Rp179.843,36",179843.36,,16347,,,179843.36
6557353,SNI20220115-417,15/1/2022,Print,SNI20220115-417,SNI-802,SNI-802,,,IDR,"Rp136.244,88",136244.88,,12384,,,136244.88
6589356,SNI20220117-440,17/1/2022,Print,SNI20220117-440,8597,SNI-073,,,IDR,"Rp7.561.291,04",7561291.04,,687389,,,7561291.04
6557115,SNI20220117-441,17/1/2022,Print,SNI20220117-441,178566,SNI-608,,,IDR,"Rp103.222,73",103222.73,,9386,,,103222.73
6557354,SNI20220117-442,17/1/2022,Print,SNI20220117-442,5676,SNI-567,,,IDR,"Rp449.566,26",449566.26,,40870,,,449566.26
6557355,SNI20220117-443,17/1/2022,Print,SNI20220117-443,137962,SNI-838,,,IDR,"Rp179.827,68",179827.68,,16348,,,179827.68
6557452,SNI20220117-444,17/1/2022,Print,SNI20220117-444,SNI-641,SNI-641,,,IDR,"Rp273.127,00",273127,,24829,,,273127
