cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6557431,SNI20220104-33,4/1/2022,Print,SNI20220104-33,SNI-524,SNI-524,,,IDR,"Rp71.626,00",71626,,6511,,,71626
6557432,SNI20220104-34,4/1/2022,Print,SNI20220104-34,SNI-522,SNI-522,,,IDR,"Rp160.457,00",160457,,14587,,,160457
6589315,SNI20220104-35,4/1/2022,Print,SNI20220104-35,52913,SNI-091,,,IDR,"Rp1.962.350,80",1962350.8,,178394,,,1962350.8
6589316,SNI20220104-36,4/1/2022,Print,SNI20220104-36,SNI-173,SNI-173,,,IDR,"Rp1.962.347,90",1962347.9,,178393,,,1962347.9
6556885,SNI20220104-37,4/1/2022,Print,SNI20220104-37,SNI-400,SNI-400,,,IDR,"Rp362.212,12",362212.12,,32924,,,362212.12
6589401,SNI20220104-38,4/1/2022,Print,SNI20220104-38,9793,SNI-403,,,IDR,"Rp1.424.222,42",1424222.42,,129475,,,1424222.42
6557293,SNI20220104-39,4/1/2022,Print,SNI20220104-39,22559,SNI-417,,,IDR,"Rp255.026,17",255026.17,,23185,,,255026.17
6557294,SNI20220104-40,4/1/2022,Print,SNI20220104-40,12700,SNI-405,,,IDR,"Rp95.308,80",95308.8,,8664,,,95308.8
6589402,SNI20220104-41,4/1/2022,Print,SNI20220104-41,119200,SNI-050,,,IDR,"Rp2.136.334,16",2136334.16,,194214,,,2136334.16
6556888,SNI20220104-42,4/1/2022,Print,SNI20220104-42,6841,SNI-164,,,IDR,"Rp14.675.366,09",14675366.09,,1334122,,,14675366.09
6589403,SNI20220105-43,5/1/2022,Print,SNI20220105-43,SNI-362,SNI-362,,,IDR,"Rp358.359,52",358359.52,,32578,,,358359.52
6556890,SNI20220105-44,5/1/2022,Print,SNI20220105-44,SNI-083,SNI-083,,,IDR,"Rp442.749,61",442749.61,,40249,,,442749.61
6556891,SNI20220105-45,5/1/2022,Print,SNI20220105-45,SNI-098,SNI-098,,,IDR,"Rp436.303,67",436303.67,,39667,,,436303.67
6556892,SNI20220105-46,5/1/2022,Print,SNI20220105-46,SNI-087,SNI-087,,,IDR,"Rp134.883,29",134883.29,,12262,,,134883.29
6556893,SNI20220105-47,5/1/2022,Print,SNI20220105-47,13111,SNI-086,,,IDR,"Rp134.883,29",134883.29,,12262,,,134883.29
6589404,SNI20220105-48,5/1/2022,Print,SNI20220105-48,SNI-088,SNI-088,,,IDR,"Rp2.225.348,64",2225348.64,,202307,,,2225348.64
6589362,SNI20220105-49,5/1/2022,Print,SNI20220105-49,SNI-577,SNI-577,,,IDR,"Rp163.513,97",163513.97,,14865,,,163513.97
6589363,SNI20220105-50,5/1/2022,Print,SNI20220105-50,175484,SNI-580,,,IDR,"Rp133.478,35",133478.35,,12133,,,133478.35
6589364,SNI20220105-51,5/1/2022,Print,SNI20220105-51,SNI-581,SNI-581,,,IDR,"Rp35.076,07",35076.07,,3190,,,35076.07
6557295,SNI20220105-52,5/1/2022,Print,SNI20220105-52,112703,SNI-291,,,IDR,"Rp194.706,07",194706.07,,17701,,,194706.07
6589365,SNI20220105-53,5/1/2022,Print,SNI20220105-53,SNI-575,SNI-575,,,IDR,"Rp241.392,42",241392.42,,21942,,,241392.42
6589354,SNI20220105-54,5/1/2022,Print,SNI20220105-54,SNI-148,SNI-148,,,IDR,"Rp4.707.404,28",4707404.28,,427947,,,4707404.28
6589366,SNI20220105-55,5/1/2022,Print,SNI20220105-55,160472,SNI-583,,,IDR,"Rp138.102,56",138102.56,,12554,,,138102.56
6557296,SNI20220105-56,5/1/2022,Print,SNI20220105-56,SNI-663,SNI-663,,,IDR,"Rp626.721,52",626721.52,,56975,,,626721.52
