cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6593627,SNI20220305-60,5/3/2022,Print,SNI20220305-60,SNI-488,SNI-488,,,IDR,"Rp10.790.711,66",10790711.66,,980972,,,10790711.66
6593628,SNI20220305-61,5/3/2022,Print,SNI20220305-61,SNI-488,SNI-488,,,IDR,"Rp4.756.517,36",4756517.36,,432411,,,4756517.36
6593629,SNI20220305-62,5/3/2022,Print,SNI20220305-62,166726,SNI-371,,,IDR,"Rp10.790.711,84",10790711.84,,980975,,,10790711.84
6593630,SNI20220305-63,5/3/2022,Print,SNI20220305-63,22781,SNI-465,,,IDR,"Rp10.790.711,72",10790711.72,,980973,,,10790711.72
6593631,SNI20220305-64,5/3/2022,Print,SNI20220305-64,SNI-577,SNI-577,,,IDR,"Rp148.061,19",148061.19,,13461,,,148061.19
6593632,SNI20220305-65,5/3/2022,Print,SNI20220305-65,189643,SNI-578,,,IDR,"Rp62.725,56",62725.56,,5702,,,62725.56
6593633,SNI20220305-66,5/3/2022,Print,SNI20220305-66,175484,SNI-580,,,IDR,"Rp267.689,85",267689.85,,24332,,,267689.85
6593634,SNI20220305-67,5/3/2022,Print,SNI20220305-67,160472,SNI-583,,,IDR,"Rp103.743,64",103743.64,,9432,,,103743.64
6593635,SNI20220305-68,5/3/2022,Print,SNI20220305-68,SNI-087,SNI-087,,,IDR,"Rp171.154,31",171154.31,,15557,,,171154.31
6593636,SNI20220305-69,5/3/2022,Print,SNI20220305-69,SNI-309,SNI-309,,,IDR,"Rp404.648,87",404648.87,,36785,,,404648.87
6593637,SNI20220305-70,5/3/2022,Print,SNI20220305-70,51672,SNI-089,,,IDR,"Rp781.148,22",781148.22,,71005,,,781148.22
6593638,SNI20220305-71,5/3/2022,Print,SNI20220305-71,SNI-088,SNI-088,,,IDR,"Rp2.225.348,61",2225348.61,,202306,,,2225348.61
6593639,SNI20220305-72,5/3/2022,Print,SNI20220305-72,SNI-112,SNI-112,,,IDR,"Rp618.481,40",618481.4,,56226,,,618481.4
6593640,SNI20220305-73,5/3/2022,Print,SNI20220305-73,SNI-108,SNI-108,,,IDR,"Rp268.933,50",268933.5,,24448,,,268933.5
6593641,SNI20220305-74,5/3/2022,Print,SNI20220305-74,1051,SNI-470,,,IDR,"Rp90.377,07",90377.07,,8217,,,90377.07
6593642,SNI20220305-75,5/3/2022,Print,SNI20220305-75,SNI-575,SNI-575,,,IDR,"Rp177.768,67",177768.67,,16159,,,177768.67
6593643,SNI20220305-76,5/3/2022,Print,SNI20220305-76,SNI-109,SNI-109,,,IDR,"Rp179.827,68",179827.68,,16348,,,179827.68
6593644,SNI20220305-77,5/3/2022,Print,SNI20220305-77,SNI-911,SNI-911,,,IDR,"Rp187.233,05",187233.05,,17023,,,187233.05
6593645,SNI20220305-78,5/3/2022,Print,SNI20220305-78,SNI-208,SNI-208,,,IDR,"Rp179.827,68",179827.68,,16348,,,179827.68
6593646,SNI20220305-79,5/3/2022,Print,SNI20220305-79,SNI-171,SNI-171,,,IDR,"Rp1.112.446,27",1112446.27,,101133,,,1112446.27
6594251,SNI20220305-80,5/3/2022,Print,SNI20220305-80,SNI-570,SNI-570,,,IDR,"Rp6.702.614,00",6702614,,609329,,,6702614
6594252,SNI20220305-81,5/3/2022,Print,SNI20220305-81,SNI-568,SNI-568,,,IDR,"Rp6.809.318,00",6809318,,619024,,,6809318
