cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6592559,SNI20220421-586,21/4/2022,Print,SNI20220421-586,SNI-441,SNI-917,,,IDR,"Rp1.099.900,11",1099900.11,,108998,,,1099900.11
6592560,SNI20220421-587,21/4/2022,Print,SNI20220421-587,JBG-372,SNI-473,,,IDR,"Rp346.731,67",346731.67,,34358,,,346731.67
6592561,SNI20220421-588,21/4/2022,Print,SNI20220421-588,SNI-487,SNI-487,,,IDR,"Rp347.333,57",347333.57,,34419,,,347333.57
6592562,SNI20220421-589,21/4/2022,Print,SNI20220421-589,SNI-345,SNI-345,,,IDR,"Rp595.336,04",595336.04,,58992,,,595336.04
6592563,SNI20220421-590,21/4/2022,Print,SNI20220421-590,SNI-326,SNI-326,,,IDR,"Rp78.492,18",78492.18,,7776,,,78492.18
6592564,SNI20220421-591,21/4/2022,Print,SNI20220421-591,SNI-344,SNI-344,,,IDR,"Rp181.478,36",181478.36,,17982,,,181478.36
6592565,SNI20220421-592,21/4/2022,Print,SNI20220421-592,8929,SNI-346,,,IDR,"Rp315.493,92",315493.92,,31261,,,315493.92
6592566,SNI20220421-593,21/4/2022,Print,SNI20220421-593,SNI-591,SNI-591,,,IDR,"Rp317.587,63",317587.63,,31469,,,317587.63
6592573,SNI20220421-594,21/4/2022,Print,SNI20220421-594,SNI-325,SNI-325,,,IDR,"Rp207.146,84",207146.84,,20526,,,207146.84
6592574,SNI20220421-595,21/4/2022,Print,SNI20220421-595,8938,SNI-955,,,IDR,"Rp193.935,47",193935.47,,19215,,,193935.47
6592567,SNI20220421-596,21/4/2022,Print,SNI20220421-596,140681,SNI-153,,,IDR,"Rp1.783.379,55",1783379.55,,176732,,,1783379.55
6592568,SNI20220421-597,21/4/2022,Print,SNI20220421-597,3389,SNI-585,,,IDR,"Rp1.281.553,90",1281553.9,,127001,,,1281553.9
6592569,SNI20220421-598,21/4/2022,Print,SNI20220421-598,165704,SNI-884,,,IDR,"Rp9.195.005,07",9195005.07,,911217,,,9195005.07
6592768,SNI20220421-599,21/4/2022,Print,SNI20220421-599,SNI-049,SNI-049,,,IDR,"Rp205.467,24",205467.24,,20361,,,205467.24
6592769,SNI20220421-600,21/4/2022,Print,SNI20220421-600,35602,SNI-924,,,IDR,"Rp262.039,20",262039.2,,25967,,,262039.2
6592570,SNI20220421-601,21/4/2022,Print,SNI20220421-601,SNI-376,SNI-376,,,IDR,"Rp1.479.457,69",1479457.69,,146613,,,1479457.69
6592571,SNI20220421-602,21/4/2022,Print,SNI20220421-602,109212,SNI-312,,,IDR,"Rp464.633,95",464633.95,,46045,,,464633.95
6592572,SNI20220421-603,21/4/2022,Print,SNI20220421-603,4666,SNI-956,,,IDR,"Rp1.791.115,98",1791115.98,,177496,,,1791115.98
6592575,SNI20220421-604,21/4/2022,Print,SNI20220421-604,51672,SNI-491,,,IDR,"Rp1.494.576,54",1494576.54,,148111,,,1494576.54
6592809,SNI20220422-605,22/4/2022,Print,SNI20220422-605,SNI-954,SNI-954,,,IDR,"Rp573.194,00",573194,,56803,,,573194
6592806,SNI20220422-606,22/4/2022,Print,SNI20220422-606,SNI-954,SNI-954,,,IDR,"Rp534.872,00",534872,,53006,,,534872
6592807,SNI20220422-607,22/4/2022,Print,SNI20220422-607,SNI-954,SNI-954,,,IDR,"Rp2.512.200,00",2512200,,248957,,,2512200
