cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6592114,SNI20220401-3,1/4/2022,Print,SNI20220401-3,SNI-327,SNI-327,,,IDR,"Rp4.298.996,02",4298996.02,,426026,,,4298996.02
6592657,SNI20220401-4,1/4/2022,Print,SNI20220401-4,35602,SNI-924,,,IDR,"Rp452.576,04",452576.04,,44849,,,452576.04
6592658,SNI20220401-5,1/4/2022,Print,SNI20220401-5,SNI-898,SNI-898,,,IDR,"Rp35.251,20",35251.2,,3492,,,35251.2
6592115,SNI20220401-6,1/4/2022,Print,SNI20220401-6,SNI-123,SNI-123,,,IDR,"Rp2.196.639,21",2196639.21,,217685,,,2196639.21
6592659,SNI20220401-7,1/4/2022,Print,SNI20220401-7,160472,SNI-124,,,IDR,"Rp110.078,28",110078.28,,10908,,,110078.28
6592660,SNI20220401-8,1/4/2022,Print,SNI20220401-8,SNI-554,SNI-554,,,IDR,"Rp57.242,10",57242.1,,5673,,,57242.1
6592661,SNI20220401-9,1/4/2022,Print,SNI20220401-9,179149,SNI-033,,,IDR,"Rp209.376,46",209376.46,,20749,,,209376.46
6592663,SNI20220402-21,2/4/2022,Print,SNI20220402-21,SNI-208,SNI-208,,,IDR,"Rp224.782,20",224782.2,,22275,,,224782.2
6592126,SNI20220402-22,2/4/2022,Print,SNI20220402-22,9062,SNI-210,,,IDR,"Rp3.124.361,20",3124361.2,,309618,,,3124361.2
6592127,SNI20220402-23,2/4/2022,Print,SNI20220402-23,SNI-199,SNI-199,,,IDR,"Rp745.390,32",745390.32,,73865,,,745390.32
6592664,SNI20220402-24,2/4/2022,Print,SNI20220402-24,131746,SNI-228,,,IDR,"Rp152.317,52",152317.52,,15094,,,152317.52
6592128,SNI20220402-25,2/4/2022,Print,SNI20220402-25,171942,SNI-574,,,IDR,"Rp956.189,49",956189.49,,94760,,,956189.49
6592129,SNI20220402-26,2/4/2022,Print,SNI20220402-26,SNI-146,SNI-146,,,IDR,"Rp99.349,71",99349.71,,9846,,,99349.71
6592130,SNI20220402-27,2/4/2022,Print,SNI20220402-27,7516,SNI-035,,,IDR,"Rp355.662,62",355662.62,,35244,,,355662.62
6592131,SNI20220402-28,2/4/2022,Print,SNI20220402-28,JBG-189,SNI-861,,,IDR,"Rp454.162,53",454162.53,,45005,,,454162.53
6592132,SNI20220402-29,2/4/2022,Print,SNI20220402-29,6821,SNI-155,,,IDR,"Rp3.306.174,58",3306174.58,,327639,,,3306174.58
6592665,SNI20220402-30,2/4/2022,Print,SNI20220402-30,SNI-108,SNI-108,,,IDR,"Rp39.609,74",39609.74,,3925,,,39609.74
6592666,SNI20220402-31,2/4/2022,Print,SNI20220402-31,SNI-112,SNI-112,,,IDR,"Rp497.330,22",497330.22,,49285,,,497330.22
6592667,SNI20220404-32,4/4/2022,Print,SNI20220404-32,SNI-256,SNI-256,,,IDR,"Rp169.765,72",169765.72,,16823,,,169765.72
6592133,SNI20220404-33,4/4/2022,Print,SNI20220404-33,SNI-079,SNI-079,,,IDR,"Rp1.377.021,61",1377021.61,,136462,,,1377021.61
6592668,SNI20220404-34,4/4/2022,Print,SNI20220404-34,117295,SNI-500,,,IDR,"Rp711.965,56",711965.56,,70555,,,711965.56
6592134,SNI20220404-35,4/4/2022,Print,SNI20220404-35,SNI-199,SNI-199,,,IDR,"Rp662.627,21",662627.21,,65663,,,662627.21
