cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6592547,SNI20220419-527,19/4/2022,Print,SNI20220419-527,SNI-869,SNI-869,,,IDR,"Rp514.113,82",514113.82,,50946,,,514113.82
6592548,SNI20220419-528,19/4/2022,Print,SNI20220419-528,SNI-079,SNI-079,,,IDR,"Rp536.735,06",536735.06,,53189,,,536735.06
6592549,SNI20220420-545,20/4/2022,Print,SNI20220420-545,6821,SNI-155,,,IDR,"Rp5.397.547,14",5397547.14,,534895,,,5397547.14
6592550,SNI20220420-546,20/4/2022,Print,SNI20220420-546,SNI-739,SNI-739,,,IDR,"Rp11.727.826,80",11727826.8,,1162228,,,11727826.8
6592551,SNI20220420-547,20/4/2022,Print,SNI20220420-547,SNI-740,SNI-740,,,IDR,"Rp45.298.663,26",45298663.26,,4489064,,,45298663.26
6592552,SNI20220420-548,20/4/2022,Print,SNI20220420-548,SNI-652,SNI-652,,,IDR,"Rp880.109,69",880109.69,,87220,,,880109.69
6592758,SNI20220420-549,20/4/2022,Print,SNI20220420-549,SNI-170,SNI-170,,,IDR,"Rp543.432,56",543432.56,,53852,,,543432.56
6592759,SNI20220420-550,20/4/2022,Print,SNI20220420-550,SNI-025,SNI-025,,,IDR,"Rp453.649,20",453649.2,,44950,,,453649.2
6592760,SNI20220420-551,20/4/2022,Print,SNI20220420-551,SNI-270,SNI-270,,,IDR,"Rp97.505,30",97505.3,,9663,,,97505.3
6592761,SNI20220420-552,20/4/2022,Print,SNI20220420-552,SNI-029,SNI-029,,,IDR,"Rp998.979,96",998979.96,,98995,,,998979.96
6592553,SNI20220420-553,20/4/2022,Print,SNI20220420-553,130473,SNI-264,,,IDR,"Rp138.537,87",138537.87,,13729,,,138537.87
6592762,SNI20220420-554,20/4/2022,Print,SNI20220420-554,SNI-941,SNI-941,,,IDR,"Rp235.454,96",235454.96,,23332,,,235454.96
6592763,SNI20220420-555,20/4/2022,Print,SNI20220420-555,50646,SNI-939,,,IDR,"Rp793.330,06",793330.06,,78619,,,793330.06
6592554,SNI20220420-556,20/4/2022,Print,SNI20220420-556,109863,SNI-425,,,IDR,"Rp1.778.314,50",1778314.5,,176229,,,1778314.5
6592555,SNI20220420-557,20/4/2022,Print,SNI20220420-557,6841,SNI-164,,,IDR,"Rp2.177.759,86",2177759.86,,215814,,,2177759.86
6592764,SNI20220420-558,20/4/2022,Print,SNI20220420-558,123430,SNI-932,,,IDR,"Rp72.572,58",72572.58,,7191,,,72572.58
6592556,SNI20220420-559,20/4/2022,Print,SNI20220420-559,SNI-169,SNI-169,,,IDR,"Rp3.042.729,36",3042729.36,,301532,,,3042729.36
6592765,SNI20220421-581,21/4/2022,Print,SNI20220421-581,SNI-400,SNI-400,,,IDR,"Rp308.212,20",308212.2,,30539,,,308212.2
6592766,SNI20220421-582,21/4/2022,Print,SNI20220421-582,12700,SNI-405,,,IDR,"Rp77.781,19",77781.19,,7708,,,77781.19
6592767,SNI20220421-583,21/4/2022,Print,SNI20220421-583,44595,SNI-736,,,IDR,"Rp1.076.621,68",1076621.68,,106700,,,1076621.68
6592557,SNI20220421-584,21/4/2022,Print,SNI20220421-584,SNI-636,SNI-636,,,IDR,"Rp119.287,00",119287,,11821,,,119287
6592558,SNI20220421-585,21/4/2022,Print,SNI20220421-585,SNI-402,SNI-402,,,IDR,"Rp340.777,54",340777.54,,33772,,,340777.54
