cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6693150,,12/2/2022,Print,SNI20220212-222,SNI-643,SNI20220212-222,,,IDR,"Rp44.956,57",44956.57,,4087,,,44956.57
6693151,,12/2/2022,Print,SNI20220212-223,SNI-642,SNI20220212-223,,,IDR,"Rp76.263,65",76263.65,,6934,,,76263.65
6693152,,12/2/2022,Print,SNI20220212-224,SNI-641,SNI20220212-224,,,IDR,"Rp404.609,09",404609.09,,36783,,,404609.09
6693153,,12/2/2022,Print,SNI20220212-225,SNI-859,SNI20220212-225,,,IDR,"Rp1.581.587,39",1581587.39,,143781,,,1581587.39
6693154,,12/2/2022,Print,SNI20220212-226,SNI-548,SNI20220212-226,,,IDR,"Rp509.667,01",509667.01,,46333,,,509667.01
6693155,,12/2/2022,Print,SNI20220212-227,SNI-216,SNI20220212-227,,,IDR,"Rp122.764,50",122764.5,,11160,,,122764.5
6693156,,12/2/2022,Print,SNI20220212-228,SNI-569,SNI20220212-228,,,IDR,"Rp5.923.254,20",5923254.2,,538476,,,5923254.2
6693157,,14/2/2022,Print,SNI20220214-265,SNI-904,SNI20220214-265,,,IDR,"Rp42.271.880,50",42271880.5,,3842899,,,42271880.5
6693158,,14/2/2022,Print,SNI20220214-266,SNI-772,SNI20220214-266,,,IDR,"Rp269.795,40",269795.4,,24531,,,269795.4
6693159,,14/2/2022,Print,SNI20220214-267,SNI-242,SNI20220214-267,,,IDR,"Rp268.156,96",268156.96,,24375,,,268156.96
6693160,,14/2/2022,Print,SNI20220214-268,SNI-567,SNI20220214-268,,,IDR,"Rp327.116,45",327116.45,,29739,,,327116.45
6693161,,14/2/2022,Print,SNI20220214-269,SNI-838,SNI20220214-269,,,IDR,"Rp178.926,87",178926.87,,16266,,,178926.87
6693162,,14/2/2022,Print,SNI20220214-270,SNI-905,SNI20220214-270,,,IDR,"Rp88.133,00",88133,,8015,,,88133
6693163,,14/2/2022,Print,SNI20220214-271,SNI-303,SNI20220214-271,,,IDR,"Rp454.126,18",454126.18,,41284,,,454126.18
6693164,,14/2/2022,Print,SNI20220214-272,SNI-311,SNI20220214-272,,,IDR,"Rp228.048,20",228048.2,,20731,,,228048.2
6693165,,14/2/2022,Print,SNI20220214-273,SNI-304,SNI20220214-273,,,IDR,"Rp1.246.797,25",1246797.25,,113347,,,1246797.25
6693166,,14/2/2022,Print,SNI20220214-274,SNI-606,SNI20220214-274,,,IDR,"Rp148.021,99",148021.99,,13457,,,148021.99
6693167,,14/2/2022,Print,SNI20220214-275,SNI-207,SNI20220214-275,,,IDR,"Rp732.221,41",732221.41,,66566,,,732221.41
6693168,,14/2/2022,Print,SNI20220214-276,SNI-649,SNI20220214-276,,,IDR,"Rp531.889,62",531889.62,,48354,,,531889.62
6693169,,14/2/2022,Print,SNI20220214-277,SNI-185,SNI20220214-277,,,IDR,"Rp1.582.864,99",1582864.99,,143897,,,1582864.99
6693170,,14/2/2022,Print,SNI20220214-278,SNI-475,SNI20220214-278,,,IDR,"Rp224.782,85",224782.85,,20435,,,224782.85
6693171,,14/2/2022,Print,SNI20220214-279,SNI-600,SNI20220214-279,,,IDR,"Rp168.065,44",168065.44,,15279,,,168065.44
