cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6594239,SNI20220331-1034,31/3/2022,Print,SNI20220331-1034,51672,SNI-233,,,IDR,"Rp15.446.289,64",15446289.64,,1404208,,,15446289.64
6594240,SNI20220331-1035,31/3/2022,Print,SNI20220331-1035,51672,SNI-233,,,IDR,"Rp648.859,02",648859.02,,58987,,,648859.02
6594235,SNI20220331-1036,31/3/2022,Print,SNI20220331-1036,SNI-377,SNI-733,,,IDR,"Rp359.689,78",359689.78,,32700,,,359689.78
6594236,SNI20220331-1037,31/3/2022,Print,SNI20220331-1037,SNI-333,SNI-333,,,IDR,"Rp1.218.037,92",1218037.92,,110732,,,1218037.92
6594237,SNI20220331-1038,31/3/2022,Print,SNI20220331-1038,SNI-925,SNI-925,,,IDR,"Rp81.478,81",81478.81,,7408,,,81478.81
6594238,SNI20220331-1039,31/3/2022,Print,SNI20220331-1039,SNI-597,SNI-597,,,IDR,"Rp1.444.869,94",1444869.94,,131354,,,1444869.94
6594326,SNI20220331-1040,31/3/2022,Print,SNI20220331-1040,SNI-568,SNI-568,,,IDR,"Rp2.201.040,00",2201040,,200095,,,2201040
6594328,SNI20220331-1043,31/3/2022,Print,SNI20220331-1043,SNI-568,SNI-568,,,IDR,"Rp4.272.427,00",4272427,,388402,,,4272427
6594327,SNI20220331-1044,31/3/2022,Print,SNI20220331-1044,SNI-570,SNI-570,,,IDR,"Rp7.720.044,00",7720044,,701821,,,7720044
6592655,SNI20220401-1,1/4/2022,Print,SNI20220401-1,SNI-649,SNI-649,,,IDR,"Rp449.564,40",449564.4,,44550,,,449564.4
6592116,SNI20220401-10,1/4/2022,Print,SNI20220401-10,137942,SNI-493,,,IDR,"Rp90.832,51",90832.51,,9001,,,90832.51
6592117,SNI20220401-11,1/4/2022,Print,SNI20220401-11,5475,SNI-556,,,IDR,"Rp244.434,24",244434.24,,24222,,,244434.24
6592118,SNI20220401-12,1/4/2022,Print,SNI20220401-12,SNI-550,SNI-550,,,IDR,"Rp70.506,01",70506.01,,6987,,,70506.01
6592119,SNI20220401-13,1/4/2022,Print,SNI20220401-13,SNI-652,SNI-652,,,IDR,"Rp628.192,14",628192.14,,62253,,,628192.14
6592120,SNI20220401-14,1/4/2022,Print,SNI20220401-14,SNI-488,SNI-488,,,IDR,"Rp8.632.566,99",8632566.99,,855479,,,8632566.99
6592121,SNI20220401-15,1/4/2022,Print,SNI20220401-15,SNI-657,SNI-657,,,IDR,"Rp13.954.870,80",13954870.8,,1382917,,,13954870.8
6592122,SNI20220401-16,1/4/2022,Print,SNI20220401-16,5924,SNI-656,,,IDR,"Rp11.455.442,22",11455442.22,,1135222,,,11455442.22
6592662,SNI20220401-17,1/4/2022,Print,SNI20220401-17,SNI-682,SNI-682,,,IDR,"Rp98.397,88",98397.88,,9751,,,98397.88
6592123,SNI20220401-18,1/4/2022,Print,SNI20220401-18,SNI-257,SNI-257,,,IDR,"Rp362.099,52",362099.52,,35885,,,362099.52
6592124,SNI20220401-19,1/4/2022,Print,SNI20220401-19,19420,SNI-658,,,IDR,"Rp10.561.203,32",10561203.32,,1046604,,,10561203.32
6592656,SNI20220401-2,1/4/2022,Print,SNI20220401-2,SNI-475,SNI-475,,,IDR,"Rp269.738,64",269738.64,,26730,,,269738.64
6592125,SNI20220401-20,1/4/2022,Print,SNI20220401-20,11148,SNI-539,,,IDR,"Rp10.606.368,85",10606368.85,,1051079,,,10606368.85
