cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6592733,SNI20220414-297,14/4/2022,Print,SNI20220414-297,4080,SNI-857,,,IDR,"Rp213.155,27",213155.27,,21122,,,213155.27
6592498,SNI20220414-298,14/4/2022,Print,SNI20220414-298,SNI-309,SNI-309,,,IDR,"Rp181.478,38",181478.38,,17983,,,181478.38
6592738,SNI20220414-299,14/4/2022,Print,SNI20220414-299,SNI-087,SNI-087,,,IDR,"Rp178.306,40",178306.4,,17669,,,178306.4
6592499,SNI20220414-300,14/4/2022,Print,SNI20220414-300,SNI-577,SNI-577,,,IDR,"Rp141.831,58",141831.58,,14055,,,141831.58
6592500,SNI20220414-301,14/4/2022,Print,SNI20220414-301,SNI-117,SNI-117,,,IDR,"Rp1.488.312,08",1488312.08,,147491,,,1488312.08
6592501,SNI20220414-302,14/4/2022,Print,SNI20220414-302,SNI-079,SNI-079,,,IDR,"Rp341.129,04",341129.04,,33803,,,341129.04
6592739,SNI20220414-303,14/4/2022,Print,SNI20220414-303,SNI-400,SNI-400,,,IDR,"Rp84.823,46",84823.46,,8406,,,84823.46
6592502,SNI20220414-304,14/4/2022,Print,SNI20220414-304,22559,SNI-417,,,IDR,"Rp69.748,17",69748.17,,6912,,,69748.17
6592740,SNI20220414-305,14/4/2022,Print,SNI20220414-305,131746,SNI-228,,,IDR,"Rp272.189,52",272189.52,,26970,,,272189.52
6592503,SNI20220414-306,14/4/2022,Print,SNI20220414-306,SNI-199,SNI-199,,,IDR,"Rp45.370,09",45370.09,,4496,,,45370.09
6592504,SNI20220414-307,14/4/2022,Print,SNI20220414-307,SNI-320,SNI-320,,,IDR,"Rp2.222.893,87",2222893.87,,220287,,,2222893.87
6592741,SNI20220414-308,14/4/2022,Print,SNI20220414-308,SNI-399,SNI-399,,,IDR,"Rp35.572,29",35572.29,,3525,,,35572.29
6592506,SNI20220414-309,14/4/2022,Print,SNI20220414-309,SNI-923,SNI-923,,,IDR,"Rp9.697.285,12",9697285.12,,960995,,,9697285.12
6592742,SNI20220416-359,16/4/2022,Print,SNI20220416-359,26722,SNI-643,,,IDR,"Rp159.061,44",159061.44,,15758,,,159061.44
6592743,SNI20220416-360,16/4/2022,Print,SNI20220416-360,SNI-793,SNI-793,,,IDR,"Rp578.693,14",578693.14,,57340,,,578693.14
6592744,SNI20220416-361,16/4/2022,Print,SNI20220416-361,SNI-641,SNI-641,,,IDR,"Rp668.197,66",668197.66,,66216,,,668197.66
6592507,SNI20220416-362,16/4/2022,Print,SNI20220416-362,SNI-426,SNI-426,,,IDR,"Rp11.441.400,03",11441400.03,,1133834,,,11441400.03
6592508,SNI20220416-363,16/4/2022,Print,SNI20220416-363,17030,SNI-439,,,IDR,"Rp10.888.800,31",10888800.31,,1079071,,,10888800.31
6592745,SNI20220416-364,16/4/2022,Print,SNI20220416-364,JBR-434,SNI-363,,,IDR,"Rp91.655,92",91655.92,,9082,,,91655.92
6592509,SNI20220416-365,16/4/2022,Print,SNI20220416-365,SNI-444,SNI-444,,,IDR,"Rp90.925,80",90925.8,,9011,,,90925.8
6592746,SNI20220416-366,16/4/2022,Print,SNI20220416-366,53028,SNI-221,,,IDR,"Rp300.232,87",300232.87,,29752,,,300232.87
6592510,SNI20220416-367,16/4/2022,Print,SNI20220416-367,JBR-707,SNI-894,,,IDR,"Rp251.478,94",251478.94,,24920,,,251478.94
