cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6589422,SNI20220114-383,14/1/2022,Print,SNI20220114-383,11606,SNI-072,,,IDR,"Rp9.251.086,77",9251086.77,,841006,,,9251086.77
6589423,SNI20220114-384,14/1/2022,Print,SNI20220114-384,SNI-123,SNI-123,,,IDR,"Rp1.721.441,18",1721441.18,,156495,,,1721441.18
6557097,SNI20220114-385,14/1/2022,Print,SNI20220114-385,6841,SNI-164,,,IDR,"Rp27.079.819,98",27079819.98,,2461800,,,27079819.98
6557338,SNI20220114-386,14/1/2022,Print,SNI20220114-386,131746,SNI-228,,,IDR,"Rp294.186,00",294186,,26744,,,294186
6557339,SNI20220114-387,14/1/2022,Print,SNI20220114-387,33591,SNI-418,,,IDR,"Rp215.291,05",215291.05,,19573,,,215291.05
6557340,SNI20220114-388,14/1/2022,Print,SNI20220114-388,SNI-254,SNI-254,,,IDR,"Rp1.100.878,56",1100878.56,,100081,,,1100878.56
6557341,SNI20220114-389,14/1/2022,Print,SNI20220114-389,SNI-109,SNI-109,,,IDR,"Rp224.783,62",224783.62,,20435,,,224783.62
6557342,SNI20220114-390,14/1/2022,Print,SNI20220114-390,SNI-772,SNI-772,,,IDR,"Rp187.200,00",187200,,17019,,,187200
6589376,SNI20220114-391,14/1/2022,Print,SNI20220114-391,163645,SNI-773,,,IDR,"Rp239.308,22",239308.22,,21755,,,239308.22
6589377,SNI20220114-392,14/1/2022,Print,SNI20220114-392,1108,SNI-471,,,IDR,"Rp1.118.293,51",1118293.51,,101664,,,1118293.51
6557100,SNI20220114-393,14/1/2022,Print,SNI20220114-393,SNI-597,SNI-597,,,IDR,"Rp1.656.465,51",1656465.51,,150590,,,1656465.51
6557101,SNI20220114-394,14/1/2022,Print,SNI20220114-394,SNI-499,SNI-499,,,IDR,"Rp875.433,91",875433.91,,79585,,,875433.91
6557343,SNI20220114-395,14/1/2022,Print,SNI20220114-395,135240,SNI-216,,,IDR,"Rp241.074,25",241074.25,,21913,,,241074.25
6557344,SNI20220114-396,14/1/2022,Print,SNI20220114-396,JBR-456,SNI-754,,,IDR,"Rp104.265,58",104265.58,,9481,,,104265.58
6589424,SNI20220114-397,14/1/2022,Print,SNI20220114-397,SNI-215,SNI-215,,,IDR,"Rp2.033.018,14",2033018.14,,184819,,,2033018.14
6557345,SNI20220114-398,14/1/2022,Print,SNI20220114-398,SNI-212,SNI-212,,,IDR,"Rp236.405,04",236405.04,,21493,,,236405.04
6557346,SNI20220114-399,14/1/2022,Print,SNI20220114-399,17030,SNI-277,,,IDR,"Rp834.622,38",834622.38,,75876,,,834622.38
6557103,SNI20220114-400,14/1/2022,Print,SNI20220114-400,SNI-734,SNI-734,,,IDR,"Rp330.101,88",330101.88,,30008,,,330101.88
6589425,SNI20220114-401,14/1/2022,Print,SNI20220114-401,SNI-447,SNI-447,,,IDR,"Rp845.633,37",845633.37,,76876,,,845633.37
6557105,SNI20220114-402,14/1/2022,Print,SNI20220114-402,15382,SNI-204,,,IDR,"Rp764.333,54",764333.54,,69474,,,764333.54
