Transaction,TransactionNumber,TransactionDate,Created At,Account Number,InternalIDAccHeader,Account,Accunt Line,InternalIdAccountline,Description,Debit,Credit
Bank Deposit,10146,19/01/2022,created on 27/01/2022 10:19:28,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,4.27,0
Bank Deposit,10151,19/01/2022,created on 28/01/2022 10:12:56,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,128,0
Bank Deposit,10142,20/01/2022,created on 22/01/2022 13:22:20,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - PEMBAYARAN CONSIGNMENT SNI,500000000,0
