Transaction,TransactionNumber,TransactionDate,Created At,Account Number,InternalIDAccHeader,Account,Accunt Line,InternalIdAccountline,Description,Debit,Credit,Credit New
Bank Deposit,10274,21/04/2022,created on 29/04/2022 16:50:52,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,500000000,0,
Bank Deposit,10332,21/04/2022,created on 11/05/2022 12:57:19,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,2.31,0,
Bank Deposit,10303,22/04/2022,created on 01/05/2022 08:57:51,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,32.74,0,
Bank Deposit,10322,22/04/2022,created on 06/05/2022 08:41:04,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - ROUNDING,0.37,0,
Bank Deposit,10327,22/04/2022,created on 09/05/2022 20:59:50,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - Pembulatan,75,0,
Bank Deposit,10329,22/04/2022,created on 10/05/2022 11:53:34,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - rounding,0.08,0,
Bank Deposit,10273,25/04/2022,created on 29/04/2022 16:49:17,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,700000000,0,
Bank Deposit,10337,25/04/2022,created on 12/05/2022 18:11:17,1-10106,1148,   Bank OCBC Giro Smart,8-80001,625,Interest Income - Bunga Rekening,149394,0,
Bank Deposit,10304,26/04/2022,created on 01/05/2022 08:58:51,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,1000,0,
Bank Deposit,10305,26/04/2022,created on 01/05/2022 16:29:08,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,19.11,0,
Bank Deposit,10306,26/04/2022,created on 01/05/2022 16:30:16,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.28,0,
Bank Deposit,10311,26/04/2022,created on 01/05/2022 17:28:22,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,35.63,0,
Bank Deposit,10312,26/04/2022,created on 01/05/2022 17:31:02,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.88,0,
Bank Deposit,10321,26/04/2022,created on 06/05/2022 08:18:08,1-10102,1115,Bank BCA IDR 2 - Operational,2-20402,1086,Other Current Liabilities - KKA,100000000,0,
Bank Deposit,10302,27/04/2022,created on 01/05/2022 08:35:52,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,43.21,0,
Bank Deposit,10308,27/04/2022,created on 01/05/2022 16:52:28,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,23.9,0,
Bank Deposit,10271,28/04/2022,created on 29/04/2022 16:34:17,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,50000000,0,
Bank Deposit,10272,28/04/2022,created on 29/04/2022 16:47:51,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,600000000,0,
Bank Deposit,10293,28/04/2022,created on 30/04/2022 23:21:46,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,31.11,0,
Bank Deposit,10307,28/04/2022,created on 01/05/2022 16:41:58,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,42.52,0,
Bank Deposit,10333,28/04/2022,created on 11/05/2022 13:00:09,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.5,0,
Bank Deposit,10320,29/04/2022,created on 06/05/2022 08:16:37,1-10102,1115,Bank BCA IDR 2 - Operational,8-80001,625,Interest Income - PENDAPATAN BUNGA BANK APRIL 2022,2081.78,0,
Bank Deposit,10370,9/5/2022,created on 07/06/2022 16:38:05,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,40,0,
Bank Deposit,10340,10/5/2022,created on 18/05/2022 12:54:14,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.71,0,
Bank Deposit,10344,10/5/2022,created on 18/05/2022 13:33:29,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,23.76,0,
Bank Deposit,10348,10/5/2022,created on 28/05/2022 10:20:39,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - Rounding,0.05,0,
Bank Deposit,10341,11/5/2022,created on 18/05/2022 13:27:13,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,82.25,0,
Bank Deposit,10342,11/5/2022,created on 18/05/2022 13:28:59,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.89,0,
Bank Deposit,10343,11/5/2022,created on 18/05/2022 13:29:35,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,968.53,0,
Bank Deposit,10369,11/5/2022,created on 07/06/2022 16:33:26,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,750000000,0,
Bank Deposit,10371,11/5/2022,created on 07/06/2022 17:39:38,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.13,0,
Bank Deposit,10345,12/5/2022,created on 18/05/2022 13:34:10,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.1,0,
Bank Deposit,10346,13/05/2022,created on 19/05/2022 11:00:58,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,4.9,0,
Bank Deposit,10381,14/05/2022,created on 21/06/2022 13:43:03,1-10106,1148,   Bank OCBC Giro Smart,8-80001,625,Interest Income - Pembayaran bunga deposito : DR 40382006926-4 KE 40380000197-2,5753425,0,
Bank Deposit,10350,16/05/2022,created on 03/06/2022 09:14:25,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,23.42,0,
