Transaction,TransactionNumber,TransactionDate,Created At,Account Number,InternalIDAccHeader,Account,Accunt Line,InternalIdAccountline,Description,Debit,Credit,Credit New
Bank Deposit,10376,24/05/2022,created on 09/06/2022 19:39:11,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.21,0,
Bank Deposit,10377,24/05/2022,created on 09/06/2022 19:46:19,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.83,0,
Bank Deposit,10378,24/05/2022,created on 09/06/2022 19:59:22,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.65,0,
Bank Deposit,10359,25/05/2022,created on 03/06/2022 15:22:50,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,44.98,0,
Bank Deposit,10364,25/05/2022,created on 07/06/2022 16:28:42,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,40,0,
Bank Deposit,10374,25/05/2022,created on 07/06/2022 17:45:26,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,2.04,0,
Bank Deposit,10375,25/05/2022,created on 09/06/2022 19:38:41,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.32,0,
Bank Deposit,10379,25/05/2022,created on 21/06/2022 13:39:41,1-10106,1148,   Bank OCBC Giro Smart,8-80001,625,Interest Income - Bunga Rekening,149606,0,
Bank Deposit,10355,27/05/2022,created on 03/06/2022 14:29:31,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,16.43,0,
Bank Deposit,10363,27/05/2022,created on 06/06/2022 18:04:14,1-10102,1115,Bank BCA IDR 2 - Operational,2-20402,1086,Other Current Liabilities - KKA - TRSF E-BANKING CR 2705/FTSCY/WS95051 125000000.00 KRAKATAU KARYA ABA,125000000,0,
Bank Deposit,10356,30/05/2022,created on 03/06/2022 14:52:40,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.65,0,
Bank Deposit,10357,30/05/2022,created on 03/06/2022 14:54:51,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.61,0,
Bank Deposit,10358,30/05/2022,created on 03/06/2022 15:14:00,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,72.97,0,
Bank Deposit,10365,30/05/2022,created on 07/06/2022 16:29:19,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,1100000000,0,
Bank Deposit,10361,31/05/2022,created on 03/06/2022 17:00:03,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,29.11,0,
Bank Deposit,10362,31/05/2022,created on 06/06/2022 17:59:46,1-10102,1115,Bank BCA IDR 2 - Operational,8-80001,625,Interest Income - PENDAPATAN BUNGA BANK MEI 2022,3934.97,0,
