External ID,Date,Transaction Type,Transaction Number,Warehouse,Location ID,Display Name,Internal ID Vendor,Status By Today,Memo,Reference Number,Product Name,Discount Amount,Company Name,Discount %,Product Code,Internal ID Item,Description,Quantity,Unit,Unit Price,Discount Line %,Tax Rate,Tax Rate ID,Tax Amount,Taxable Amount per Line,Total per line,Gross Amount,Rate
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Ekonomis Anggur 10g,0,,0,NJL-0043,3011,,5,Karton,176730,0.20,10,5,88188.27,881882.7,881882.7,970070.97,176376.54
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Ekonomis Jambu 10g,0,,0,NJL-0034,3015,,5,Karton,176730,0.20,10,5,88188.27,881882.7,881882.7,970070.97,176376.54
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Ekonomis Jeruk 10g,0,,0,NJL-0038,3019,,15,Karton,176730,0.20,10,5,264564.81,2645648.1,2645648.1,2910212.91,176376.54
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Ekonomis Strawberry 10g,0,,0,NJL-0039,3020,,50,Karton,176730,0.20,10,5,881882.7,8818827,8818827,9700709.7,176376.54
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Ekonomis Plain 10g,0,,0,NJL-0040,3021,,10,Karton,176730,0.20,10,5,176376.54,1763765.4,1763765.4,1940141.94,176376.54
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Pudding Susu Vanilla 140g,0,,0,NJL-0016,2995,,5,Karton,210950,0.20,10,5,105264.05,1052640.5,1052640.5,1157904.55,210528.1
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Pudding Susu Melon 145g,0,,0,NJL-0017,2996,,5,Karton,210950,0.20,10,5,105264.05,1052640.5,1052640.5,1157904.55,210528.1
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Pudding Susu Mangga 130g,0,,0,NJL-0018,2997,,5,Karton,210950,0.20,10,5,105264.05,1052640.5,1052640.5,1157904.55,210528.1
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Pudding Susu Strawberry 145g,0,,0,NJL-0019,2998,,15,Karton,210950,0.20,10,5,315792.15,3157921.5,3157921.5,3473713.65,210528.1
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Pudding Santan Pandan 130g,0,,0,NJL-0020,2999,,5,Karton,210950,0.20,10,5,105264.05,1052640.5,1052640.5,1157904.55,210528.1
